Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dubai,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,17.6,63,Moderate,17.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,18.3,64,Moderate,19.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,17.4,62,Moderate,16.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,14.0,55,Moderate,11.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,14.2,55,Moderate,14.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,14.5,56,Moderate,15.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,13.4,54,Moderate,12.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,11.1,46,Good,9.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,11.5,48,Good,12.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,13.2,53,Moderate,15.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,14.1,55,Moderate,15.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,11.5,48,Good,9.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,8.2,34,Good,5.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,5.6,23,Good,3.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,5.3,22,Good,5.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,6.6,28,Good,8.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,8.3,35,Good,10.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,10.6,44,Good,13.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,10.8,45,Good,11.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,12.4,52,Moderate,14.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,11.7,49,Good,11.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,11.3,47,Good,11.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,11.6,48,Good,12.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,12.3,51,Moderate,13.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,10.6,44,Good,9.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 02:00 AM,2022,01,02,02,10.3,43,Good,10.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 03:00 AM,2022,01,02,03,11.5,48,Good,13.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 04:00 AM,2022,01,02,04,10.6,44,Good,9.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 05:00 AM,2022,01,02,05,9.4,39,Good,8.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 06:00 AM,2022,01,02,06,9.2,38,Good,9.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 07:00 AM,2022,01,02,07,9.9,41,Good,11.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 08:00 AM,2022,01,02,08,14.5,56,Moderate,19.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 09:00 AM,2022,01,02,09,22.2,72,Moderate,30.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 10:00 AM,2022,01,02,10,26.6,81,Moderate,31.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 11:00 AM,2022,01,02,11,27.8,84,Moderate,29.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 12:00 PM,2022,01,02,12,26.4,81,Moderate,25.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 01:00 PM,2022,01,02,13,25.7,80,Moderate,25.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 02:00 PM,2022,01,02,14,35.8,102,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 03:00 PM,2022,01,02,15,51.4,140,Unhealthy for Sensitive Groups,67.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 04:00 PM,2022,01,02,16,72.7,160,Unhealthy,94.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 05:00 PM,2022,01,02,17,81.8,165,Unhealthy,91.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 06:00 PM,2022,01,02,18,90.4,169,Unhealthy,99.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 07:00 PM,2022,01,02,19,95.7,172,Unhealthy,101.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 08:00 PM,2022,01,02,20,94.3,171,Unhealthy,93.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 09:00 PM,2022,01,02,21,93.1,170,Unhealthy,92.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 10:00 PM,2022,01,02,22,89.6,169,Unhealthy,86.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-02 11:00 PM,2022,01,02,23,74.8,161,Unhealthy,60.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 12:00 AM,2022,01,03,00,62.9,155,Unhealthy,51.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 01:00 AM,2022,01,03,01,59.9,153,Unhealthy,57.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 02:00 AM,2022,01,03,02,61.5,154,Unhealthy,63.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 03:00 AM,2022,01,03,03,65.2,156,Unhealthy,69.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 04:00 AM,2022,01,03,04,71.0,159,Unhealthy,77.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 05:00 AM,2022,01,03,05,76.4,162,Unhealthy,82.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 06:00 AM,2022,01,03,06,102.7,175,Unhealthy,129.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 07:00 AM,2022,01,03,07,167.9,218,Very Unhealthy,233.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 08:00 AM,2022,01,03,08,168.9,219,Very Unhealthy,170.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 09:00 AM,2022,01,03,09,131.4,190,Unhealthy,94.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 10:00 AM,2022,01,03,10,97.2,173,Unhealthy,63.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 11:00 AM,2022,01,03,11,75.1,161,Unhealthy,53.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 12:00 PM,2022,01,03,12,60.5,154,Unhealthy,46.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 01:00 PM,2022,01,03,13,53.7,146,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 02:00 PM,2022,01,03,14,47.3,130,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 03:00 PM,2022,01,03,15,42.6,118,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 04:00 PM,2022,01,03,16,31.8,92,Moderate,21.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 05:00 PM,2022,01,03,17,23.4,75,Moderate,15.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 06:00 PM,2022,01,03,18,18.6,65,Moderate,14.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 07:00 PM,2022,01,03,19,18.3,64,Moderate,18.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 08:00 PM,2022,01,03,20,17.1,62,Moderate,16.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 09:00 PM,2022,01,03,21,17.0,61,Moderate,17.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 10:00 PM,2022,01,03,22,19.5,67,Moderate,22.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-03 11:00 PM,2022,01,03,23,18.2,64,Moderate,17.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 12:00 AM,2022,01,04,00,18.1,64,Moderate,18.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 01:00 AM,2022,01,04,01,13.5,54,Moderate,9.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 02:00 AM,2022,01,04,02,13.2,53,Moderate,13.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 03:00 AM,2022,01,04,03,13.1,53,Moderate,13.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 04:00 AM,2022,01,04,04,13.5,54,Moderate,14.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 05:00 AM,2022,01,04,05,12.2,51,Moderate,11.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 06:00 AM,2022,01,04,06,14.6,56,Moderate,17.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 07:00 AM,2022,01,04,07,13.8,55,Moderate,13.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 08:00 AM,2022,01,04,08,16.9,61,Moderate,20.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 09:00 AM,2022,01,04,09,17.4,62,Moderate,18.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 10:00 AM,2022,01,04,10,16.2,60,Moderate,15.0,UG/M3,1 Hr,Valid
Dubai,PM2.5 - Principal,2022-01-04 11:00 AM,2022,01,04,11,14.1,55,Moderate,12.0,UG/M3,1 Hr,Valid
