Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dushanbe,PM2.5 - Principal,2022-04-01 03:00 PM,2022,04,01,15,-999.0,-999,N/A,19.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-01 04:00 PM,2022,04,01,16,16.1,59,Moderate,14.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-01 05:00 PM,2022,04,01,17,16.9,61,Moderate,18.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-01 06:00 PM,2022,04,01,18,22.1,72,Moderate,27.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-01 07:00 PM,2022,04,01,19,26.8,82,Moderate,31.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-01 08:00 PM,2022,04,01,20,24.8,78,Moderate,23.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-01 09:00 PM,2022,04,01,21,28.4,85,Moderate,32.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-01 10:00 PM,2022,04,01,22,33.2,95,Moderate,38.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-01 11:00 PM,2022,04,01,23,37.6,106,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 12:00 AM,2022,04,02,00,37.3,105,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 01:00 AM,2022,04,02,01,38.6,109,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 02:00 AM,2022,04,02,02,42.8,119,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 03:00 AM,2022,04,02,03,44.4,123,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 04:00 AM,2022,04,02,04,44.2,122,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 05:00 AM,2022,04,02,05,45.6,126,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 06:00 AM,2022,04,02,06,46.8,129,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 07:00 AM,2022,04,02,07,44.4,123,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 08:00 AM,2022,04,02,08,48.9,134,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 09:00 AM,2022,04,02,09,50.3,137,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 10:00 AM,2022,04,02,10,48.6,133,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 11:00 AM,2022,04,02,11,47.4,130,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 12:00 PM,2022,04,02,12,36.9,104,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 01:00 PM,2022,04,02,13,36.9,104,Unhealthy for Sensitive Groups,-999.0,UG/M3,1 Hr,Missing
Dushanbe,PM2.5 - Principal,2022-04-02 02:00 PM,2022,04,02,14,48.3,133,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 03:00 PM,2022,04,02,15,46.9,129,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 04:00 PM,2022,04,02,16,42.7,119,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 05:00 PM,2022,04,02,17,41.3,115,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 06:00 PM,2022,04,02,18,39.6,111,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 07:00 PM,2022,04,02,19,43.8,121,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 08:00 PM,2022,04,02,20,36.3,103,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 09:00 PM,2022,04,02,21,29.6,88,Moderate,23.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 10:00 PM,2022,04,02,22,25.3,79,Moderate,21.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-02 11:00 PM,2022,04,02,23,22.6,73,Moderate,20.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 12:00 AM,2022,04,03,00,22.3,72,Moderate,22.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 01:00 AM,2022,04,03,01,27.6,84,Moderate,33.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 02:00 AM,2022,04,03,02,29.8,88,Moderate,32.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 03:00 AM,2022,04,03,03,26.4,81,Moderate,23.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 04:00 AM,2022,04,03,04,25.7,80,Moderate,25.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 05:00 AM,2022,04,03,05,23.8,76,Moderate,22.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 06:00 AM,2022,04,03,06,22.9,74,Moderate,22.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 07:00 AM,2022,04,03,07,24.8,78,Moderate,27.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 08:00 AM,2022,04,03,08,25.2,79,Moderate,26.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 09:00 AM,2022,04,03,09,34.2,97,Moderate,43.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 10:00 AM,2022,04,03,10,31.1,91,Moderate,28.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 11:00 AM,2022,04,03,11,30.0,89,Moderate,29.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 12:00 PM,2022,04,03,12,23.5,75,Moderate,17.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 01:00 PM,2022,04,03,13,20.7,69,Moderate,18.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 02:00 PM,2022,04,03,14,21.3,70,Moderate,22.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 03:00 PM,2022,04,03,15,20.6,69,Moderate,20.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 04:00 PM,2022,04,03,16,18.8,65,Moderate,17.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 05:00 PM,2022,04,03,17,18.4,64,Moderate,18.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 06:00 PM,2022,04,03,18,20.2,68,Moderate,22.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 07:00 PM,2022,04,03,19,23.6,75,Moderate,27.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 08:00 PM,2022,04,03,20,23.3,75,Moderate,23.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 09:00 PM,2022,04,03,21,21.3,70,Moderate,19.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 10:00 PM,2022,04,03,22,23.2,74,Moderate,26.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-03 11:00 PM,2022,04,03,23,24.1,76,Moderate,26.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 12:00 AM,2022,04,04,00,22.2,72,Moderate,19.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 01:00 AM,2022,04,04,01,23.6,75,Moderate,26.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 02:00 AM,2022,04,04,02,21.9,72,Moderate,19.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 03:00 AM,2022,04,04,03,20.8,69,Moderate,19.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 04:00 AM,2022,04,04,04,12.1,51,Moderate,4.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 05:00 AM,2022,04,04,05,11.0,46,Good,10.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 06:00 AM,2022,04,04,06,14.0,55,Moderate,17.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 07:00 AM,2022,04,04,07,15.0,57,Moderate,16.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 08:00 AM,2022,04,04,08,16.0,59,Moderate,17.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 09:00 AM,2022,04,04,09,16.5,60,Moderate,17.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 10:00 AM,2022,04,04,10,22.2,72,Moderate,28.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 11:00 AM,2022,04,04,11,23.1,74,Moderate,24.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 12:00 PM,2022,04,04,12,21.0,70,Moderate,19.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 01:00 PM,2022,04,04,13,20.0,68,Moderate,19.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 02:00 PM,2022,04,04,14,17.0,61,Moderate,14.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 03:00 PM,2022,04,04,15,16.5,60,Moderate,16.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 04:00 PM,2022,04,04,16,14.7,56,Moderate,13.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 05:00 PM,2022,04,04,17,13.8,55,Moderate,13.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 06:00 PM,2022,04,04,18,12.9,53,Moderate,12.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2022-04-04 07:00 PM,2022,04,04,19,19.9,67,Moderate,27.0,UG/M3,1 Hr,Valid
