Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dushanbe,PM2.5 - Principal,2024-01-01 01:00 AM,2024,01,01,01,38.6,109,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,38.3,108,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,26.1,83,Moderate,14.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,21.0,73,Moderate,16.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,15.5,63,Moderate,10.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,12.7,58,Moderate,10.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,14.8,62,Moderate,17.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,23.4,78,Moderate,32.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,32.2,94,Moderate,41.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,29.6,89,Moderate,27.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,25.8,82,Moderate,22.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,20.3,72,Moderate,15.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,20.1,71,Moderate,20.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,19.5,70,Moderate,19.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,18.2,68,Moderate,17.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,14.1,60,Moderate,10.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,14.5,61,Moderate,15.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 06:00 PM,2024,01,01,18,29.2,88,Moderate,44.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 07:00 PM,2024,01,01,19,43.6,121,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 08:00 PM,2024,01,01,20,60.3,154,Unhealthy,77.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 09:00 PM,2024,01,01,21,54.6,148,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 10:00 PM,2024,01,01,22,47.8,131,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-01 11:00 PM,2024,01,01,23,37.4,106,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 12:00 AM,2024,01,02,00,31.2,92,Moderate,25.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 01:00 AM,2024,01,02,01,26.1,83,Moderate,21.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 02:00 AM,2024,01,02,02,27.5,85,Moderate,29.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 03:00 AM,2024,01,02,03,21.2,74,Moderate,15.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 04:00 AM,2024,01,02,04,21.6,74,Moderate,22.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 05:00 AM,2024,01,02,05,17.3,66,Moderate,13.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 06:00 AM,2024,01,02,06,19.1,70,Moderate,21.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 07:00 AM,2024,01,02,07,23.5,78,Moderate,28.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 08:00 AM,2024,01,02,08,40.2,113,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 09:00 AM,2024,01,02,09,51.6,141,Unhealthy for Sensitive Groups,63.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 10:00 AM,2024,01,02,10,98.3,181,Unhealthy,145.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 11:00 AM,2024,01,02,11,119.6,196,Unhealthy,141.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 12:00 PM,2024,01,02,12,155.8,231,Very Unhealthy,192.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 01:00 PM,2024,01,02,13,136.4,212,Very Unhealthy,117.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 02:00 PM,2024,01,02,14,117.2,194,Unhealthy,98.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 03:00 PM,2024,01,02,15,87.1,173,Unhealthy,57.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 04:00 PM,2024,01,02,16,66.5,159,Unhealthy,46.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 05:00 PM,2024,01,02,17,52.2,142,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 06:00 PM,2024,01,02,18,56.1,151,Unhealthy,60.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 07:00 PM,2024,01,02,19,51.5,140,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 08:00 PM,2024,01,02,20,53.2,145,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 09:00 PM,2024,01,02,21,65.6,158,Unhealthy,78.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 10:00 PM,2024,01,02,22,78.8,167,Unhealthy,92.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-02 11:00 PM,2024,01,02,23,87.9,174,Unhealthy,97.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 12:00 AM,2024,01,03,00,100.9,183,Unhealthy,114.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 01:00 AM,2024,01,03,01,90.4,175,Unhealthy,80.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 02:00 AM,2024,01,03,02,86.2,173,Unhealthy,82.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 03:00 AM,2024,01,03,03,87.6,174,Unhealthy,89.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 04:00 AM,2024,01,03,04,87.8,174,Unhealthy,88.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 05:00 AM,2024,01,03,05,83.4,171,Unhealthy,79.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 06:00 AM,2024,01,03,06,68.7,160,Unhealthy,54.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 07:00 AM,2024,01,03,07,66.3,159,Unhealthy,64.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 08:00 AM,2024,01,03,08,61.6,155,Unhealthy,57.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 09:00 AM,2024,01,03,09,79.8,168,Unhealthy,98.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 10:00 AM,2024,01,03,10,100.4,182,Unhealthy,121.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 11:00 AM,2024,01,03,11,95.2,179,Unhealthy,90.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 12:00 PM,2024,01,03,12,118.6,195,Unhealthy,142.0,UG/M3,1 Hr,Valid
Dushanbe,PM2.5 - Principal,2024-01-03 01:00 PM,2024,01,03,13,120.3,196,Unhealthy,122.0,UG/M3,1 Hr,Valid
