Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Embassy Kathmandu,O3,2019-12-01 01:00 AM,2019,12,01,01,4.0,4,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 02:00 AM,2019,12,01,02,4.0,4,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 03:00 AM,2019,12,01,03,6.0,6,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 04:00 AM,2019,12,01,04,4.0,4,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 05:00 AM,2019,12,01,05,3.0,3,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 06:00 AM,2019,12,01,06,2.0,2,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 07:00 AM,2019,12,01,07,7.0,6,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 08:00 AM,2019,12,01,08,13.0,12,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 09:00 AM,2019,12,01,09,18.0,17,Good,11.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 10:00 AM,2019,12,01,10,25.0,23,Good,32.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 11:00 AM,2019,12,01,11,31.0,29,Good,55.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 12:00 PM,2019,12,01,12,37.0,34,Good,54.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 01:00 PM,2019,12,01,13,45.0,42,Good,72.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 02:00 PM,2019,12,01,14,42.0,39,Good,41.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 03:00 PM,2019,12,01,15,39.0,36,Good,31.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 04:00 PM,2019,12,01,16,35.0,32,Good,31.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 05:00 PM,2019,12,01,17,30.0,28,Good,27.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 06:00 PM,2019,12,01,18,21.0,19,Good,22.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 07:00 PM,2019,12,01,19,18.0,17,Good,20.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 08:00 PM,2019,12,01,20,15.0,14,Good,9.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 09:00 PM,2019,12,01,21,12.0,11,Good,7.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 10:00 PM,2019,12,01,22,7.0,6,Good,6.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-01 11:00 PM,2019,12,01,23,6.0,6,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-12-02 12:00 AM,2019,12,02,00,3.0,3,Good,1.0,PPB,1 Hr,Valid
