Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Embassy Kathmandu,O3,2020-01-01 02:00 AM,2020,01,01,02,4.0,4,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 03:00 AM,2020,01,01,03,5.0,5,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 04:00 AM,2020,01,01,04,4.0,4,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 05:00 AM,2020,01,01,05,4.0,4,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 06:00 AM,2020,01,01,06,6.0,6,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 07:00 AM,2020,01,01,07,7.0,6,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 08:00 AM,2020,01,01,08,10.0,9,Good,6.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 09:00 AM,2020,01,01,09,16.0,15,Good,9.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 10:00 AM,2020,01,01,10,22.0,20,Good,16.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 11:00 AM,2020,01,01,11,29.0,27,Good,32.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 12:00 PM,2020,01,01,12,34.0,31,Good,45.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 01:00 PM,2020,01,01,13,35.0,32,Good,44.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 02:00 PM,2020,01,01,14,42.0,39,Good,51.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 03:00 PM,2020,01,01,15,43.0,40,Good,49.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 04:00 PM,2020,01,01,16,38.0,35,Good,41.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 05:00 PM,2020,01,01,17,33.0,31,Good,36.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 06:00 PM,2020,01,01,18,25.0,23,Good,15.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 07:00 PM,2020,01,01,19,21.0,19,Good,8.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 08:00 PM,2020,01,01,20,17.0,16,Good,10.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 09:00 PM,2020,01,01,21,12.0,11,Good,8.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 10:00 PM,2020,01,01,22,9.0,8,Good,8.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-01 11:00 PM,2020,01,01,23,7.0,6,Good,6.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 12:00 AM,2020,01,02,00,6.0,6,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 01:00 AM,2020,01,02,01,3.0,3,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 02:00 AM,2020,01,02,02,5.0,5,Good,6.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 03:00 AM,2020,01,02,03,4.0,4,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 04:00 AM,2020,01,02,04,3.0,3,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 05:00 AM,2020,01,02,05,3.0,3,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 06:00 AM,2020,01,02,06,4.0,4,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 07:00 AM,2020,01,02,07,5.0,5,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 08:00 AM,2020,01,02,08,8.0,7,Good,5.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 09:00 AM,2020,01,02,09,12.0,11,Good,5.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 10:00 AM,2020,01,02,10,18.0,17,Good,9.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 11:00 AM,2020,01,02,11,24.0,22,Good,26.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 12:00 PM,2020,01,02,12,32.0,30,Good,45.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 01:00 PM,2020,01,02,13,32.0,30,Good,43.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 02:00 PM,2020,01,02,14,30.0,28,Good,28.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 03:00 PM,2020,01,02,15,28.0,26,Good,18.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 04:00 PM,2020,01,02,16,27.0,25,Good,29.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 05:00 PM,2020,01,02,17,23.0,21,Good,32.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 06:00 PM,2020,01,02,18,13.0,12,Good,7.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 07:00 PM,2020,01,02,19,16.0,15,Good,5.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 08:00 PM,2020,01,02,20,15.0,14,Good,9.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 09:00 PM,2020,01,02,21,10.0,9,Good,8.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 10:00 PM,2020,01,02,22,6.0,6,Good,8.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-02 11:00 PM,2020,01,02,23,7.0,6,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 12:00 AM,2020,01,03,00,7.0,6,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 01:00 AM,2020,01,03,01,2.0,2,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 02:00 AM,2020,01,03,02,3.0,3,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 03:00 AM,2020,01,03,03,1.0,1,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 04:00 AM,2020,01,03,04,3.0,3,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 05:00 AM,2020,01,03,05,3.0,3,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 06:00 AM,2020,01,03,06,4.0,4,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 07:00 AM,2020,01,03,07,4.0,4,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 08:00 AM,2020,01,03,08,7.0,6,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 09:00 AM,2020,01,03,09,11.0,10,Good,5.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 10:00 AM,2020,01,03,10,14.0,13,Good,6.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2020-01-03 11:00 AM,2020,01,03,11,15.0,14,Good,7.0,PPB,1 Hr,Valid
