Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,134.0,192,Unhealthy,125.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,106.5,177,Unhealthy,79.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,89.7,169,Unhealthy,73.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,78.3,163,Unhealthy,67.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,76.1,162,Unhealthy,74.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,85.6,167,Unhealthy,95.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,92.3,170,Unhealthy,99.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,112.6,180,Unhealthy,133.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,122.8,186,Unhealthy,133.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,116.9,183,Unhealthy,111.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,92.6,170,Unhealthy,68.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,67.7,157,Unhealthy,43.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,44.8,124,Unhealthy for Sensitive Groups,22.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,36.9,104,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,27.4,83,Moderate,18.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,26.2,81,Moderate,25.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,27.6,84,Moderate,29.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,32.2,93,Moderate,37.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,43.6,121,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,58.8,153,Unhealthy,74.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,84.4,166,Unhealthy,110.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,107.7,178,Unhealthy,131.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,120.8,185,Unhealthy,134.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,104.9,177,Unhealthy,89.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 02:00 AM,2022,01,02,02,81.9,165,Unhealthy,59.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 03:00 AM,2022,01,02,03,78.9,163,Unhealthy,76.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 04:00 AM,2022,01,02,04,75.0,161,Unhealthy,71.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 05:00 AM,2022,01,02,05,66.0,156,Unhealthy,57.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 06:00 AM,2022,01,02,06,67.5,157,Unhealthy,69.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 07:00 AM,2022,01,02,07,68.2,158,Unhealthy,69.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 08:00 AM,2022,01,02,08,77.1,162,Unhealthy,86.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 09:00 AM,2022,01,02,09,110.0,179,Unhealthy,143.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 10:00 AM,2022,01,02,10,108.0,178,Unhealthy,106.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 11:00 AM,2022,01,02,11,118.5,184,Unhealthy,129.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 12:00 PM,2022,01,02,12,94.7,171,Unhealthy,71.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 01:00 PM,2022,01,02,13,62.8,155,Unhealthy,31.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 02:00 PM,2022,01,02,14,44.9,124,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 03:00 PM,2022,01,02,15,33.9,97,Moderate,23.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 04:00 PM,2022,01,02,16,34.4,98,Moderate,35.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 05:00 PM,2022,01,02,17,32.2,93,Moderate,30.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 06:00 PM,2022,01,02,18,32.1,93,Moderate,32.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 07:00 PM,2022,01,02,19,33.5,96,Moderate,35.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 08:00 PM,2022,01,02,20,47.2,130,Unhealthy for Sensitive Groups,61.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 09:00 PM,2022,01,02,21,73.1,160,Unhealthy,99.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 10:00 PM,2022,01,02,22,97.5,173,Unhealthy,122.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-02 11:00 PM,2022,01,02,23,120.7,185,Unhealthy,144.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-03 12:00 AM,2022,01,03,00,122.8,186,Unhealthy,125.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2022-01-03 01:00 AM,2022,01,03,01,103.9,176,Unhealthy,85.0,UG/M3,1 Hr,Valid
