Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Embassy Kathmandu,O3,2025-01-01 02:00 AM,2025,01,01,02,2.0,2,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 03:00 AM,2025,01,01,03,1.0,1,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 04:00 AM,2025,01,01,04,0.0,0,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 05:00 AM,2025,01,01,05,0.0,0,Good,-999.0,PPB,1 Hr,Missing
Embassy Kathmandu,O3,2025-01-01 06:00 AM,2025,01,01,06,0.0,0,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 07:00 AM,2025,01,01,07,2.0,2,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 08:00 AM,2025,01,01,08,5.0,5,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 09:00 AM,2025,01,01,09,9.0,8,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 10:00 AM,2025,01,01,10,13.0,12,Good,10.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 11:00 AM,2025,01,01,11,18.0,17,Good,19.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 12:00 PM,2025,01,01,12,22.0,20,Good,26.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 01:00 PM,2025,01,01,13,25.0,23,Good,32.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 02:00 PM,2025,01,01,14,29.0,27,Good,41.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 03:00 PM,2025,01,01,15,30.0,28,Good,40.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 04:00 PM,2025,01,01,16,28.0,26,Good,32.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 05:00 PM,2025,01,01,17,26.0,24,Good,27.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 06:00 PM,2025,01,01,18,24.0,22,Good,18.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 07:00 PM,2025,01,01,19,19.0,18,Good,10.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 08:00 PM,2025,01,01,20,15.0,14,Good,11.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 09:00 PM,2025,01,01,21,9.0,8,Good,6.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 10:00 PM,2025,01,01,22,6.0,6,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-01 11:00 PM,2025,01,01,23,3.0,3,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 12:00 AM,2025,01,02,00,3.0,3,Good,5.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 01:00 AM,2025,01,02,01,2.0,2,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 02:00 AM,2025,01,02,02,1.0,1,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 03:00 AM,2025,01,02,03,1.0,1,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 04:00 AM,2025,01,02,04,1.0,1,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 05:00 AM,2025,01,02,05,0.0,0,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 06:00 AM,2025,01,02,06,0.0,0,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 07:00 AM,2025,01,02,07,2.0,2,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 08:00 AM,2025,01,02,08,9.0,8,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 09:00 AM,2025,01,02,09,16.0,15,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 10:00 AM,2025,01,02,10,21.0,19,Good,9.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 11:00 AM,2025,01,02,11,20.0,19,Good,14.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 12:00 PM,2025,01,02,12,18.0,17,Good,16.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 01:00 PM,2025,01,02,13,17.0,16,Good,23.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 02:00 PM,2025,01,02,14,20.0,19,Good,28.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 03:00 PM,2025,01,02,15,20.0,19,Good,29.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 04:00 PM,2025,01,02,16,21.0,19,Good,34.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 05:00 PM,2025,01,02,17,21.0,19,Good,29.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 06:00 PM,2025,01,02,18,19.0,18,Good,18.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 07:00 PM,2025,01,02,19,16.0,15,Good,10.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 08:00 PM,2025,01,02,20,14.0,13,Good,6.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 09:00 PM,2025,01,02,21,11.0,10,Good,8.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 10:00 PM,2025,01,02,22,5.0,5,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-02 11:00 PM,2025,01,02,23,2.0,2,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 12:00 AM,2025,01,03,00,1.0,1,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 01:00 AM,2025,01,03,01,1.0,1,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 02:00 AM,2025,01,03,02,0.0,0,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 03:00 AM,2025,01,03,03,0.0,0,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 04:00 AM,2025,01,03,04,1.0,1,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 05:00 AM,2025,01,03,05,1.0,1,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 06:00 AM,2025,01,03,06,2.0,2,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 07:00 AM,2025,01,03,07,3.0,3,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 08:00 AM,2025,01,03,08,5.0,5,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 09:00 AM,2025,01,03,09,7.0,6,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 10:00 AM,2025,01,03,10,12.0,11,Good,10.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 11:00 AM,2025,01,03,11,15.0,14,Good,15.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 12:00 PM,2025,01,03,12,17.0,16,Good,23.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 01:00 PM,2025,01,03,13,18.0,17,Good,23.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 02:00 PM,2025,01,03,14,22.0,20,Good,26.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 03:00 PM,2025,01,03,15,25.0,23,Good,32.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 04:00 PM,2025,01,03,16,24.0,22,Good,35.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 05:00 PM,2025,01,03,17,21.0,19,Good,26.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 06:00 PM,2025,01,03,18,19.0,18,Good,19.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 07:00 PM,2025,01,03,19,16.0,15,Good,9.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 08:00 PM,2025,01,03,20,13.0,12,Good,7.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 09:00 PM,2025,01,03,21,9.0,8,Good,6.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 10:00 PM,2025,01,03,22,5.0,5,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-03 11:00 PM,2025,01,03,23,4.0,4,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-04 12:00 AM,2025,01,04,00,4.0,4,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-04 01:00 AM,2025,01,04,01,2.0,2,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-04 02:00 AM,2025,01,04,02,2.0,2,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-04 03:00 AM,2025,01,04,03,2.0,2,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-04 04:00 AM,2025,01,04,04,2.0,2,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-04 05:00 AM,2025,01,04,05,3.0,3,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-04 06:00 AM,2025,01,04,06,1.0,1,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2025-01-04 07:00 AM,2025,01,04,07,3.0,3,Good,2.0,PPB,1 Hr,Valid
