Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guangzhou,O3,2023-03-30 01:00 AM,2023,03,30,01,6.0,6,Good,1.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 02:00 AM,2023,03,30,02,5.0,5,Good,1.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 03:00 AM,2023,03,30,03,5.0,5,Good,1.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 04:00 AM,2023,03,30,04,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 05:00 AM,2023,03,30,05,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 06:00 AM,2023,03,30,06,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 07:00 AM,2023,03,30,07,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 08:00 AM,2023,03,30,08,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 09:00 AM,2023,03,30,09,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 10:00 AM,2023,03,30,10,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 11:00 AM,2023,03,30,11,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 12:00 PM,2023,03,30,12,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 01:00 PM,2023,03,30,13,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 02:00 PM,2023,03,30,14,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 03:00 PM,2023,03,30,15,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 04:00 PM,2023,03,30,16,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 05:00 PM,2023,03,30,17,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 06:00 PM,2023,03,30,18,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 07:00 PM,2023,03,30,19,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 08:00 PM,2023,03,30,20,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 09:00 PM,2023,03,30,21,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 10:00 PM,2023,03,30,22,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-30 11:00 PM,2023,03,30,23,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 12:00 AM,2023,03,31,00,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 01:00 AM,2023,03,31,01,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 02:00 AM,2023,03,31,02,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 03:00 AM,2023,03,31,03,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 04:00 AM,2023,03,31,04,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 05:00 AM,2023,03,31,05,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 06:00 AM,2023,03,31,06,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 07:00 AM,2023,03,31,07,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 08:00 AM,2023,03,31,08,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 09:00 AM,2023,03,31,09,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 10:00 AM,2023,03,31,10,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 11:00 AM,2023,03,31,11,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 12:00 PM,2023,03,31,12,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 01:00 PM,2023,03,31,13,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 02:00 PM,2023,03,31,14,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 03:00 PM,2023,03,31,15,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 04:00 PM,2023,03,31,16,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 05:00 PM,2023,03,31,17,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 06:00 PM,2023,03,31,18,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 07:00 PM,2023,03,31,19,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 08:00 PM,2023,03,31,20,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 09:00 PM,2023,03,31,21,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 10:00 PM,2023,03,31,22,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-03-31 11:00 PM,2023,03,31,23,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-04-01 12:00 AM,2023,04,01,00,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-04-01 01:00 AM,2023,04,01,01,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-04-01 02:00 AM,2023,04,01,02,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-04-01 03:00 AM,2023,04,01,03,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-04-01 04:00 AM,2023,04,01,04,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-04-01 05:00 AM,2023,04,01,05,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-04-01 06:00 AM,2023,04,01,06,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-04-01 07:00 AM,2023,04,01,07,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-04-01 08:00 AM,2023,04,01,08,5.0,5,Good,0.0,PPB,1 Hr,Valid
Guangzhou,O3,2023-04-01 09:00 AM,2023,04,01,09,5.0,5,Good,0.0,PPB,1 Hr,Valid
