Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guangzhou,PM2.5 - Principal,2023-03-01 01:00 AM,2023,03,01,01,55.3,150,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 02:00 AM,2023,03,01,02,51.8,141,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 03:00 AM,2023,03,01,03,45.4,125,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 04:00 AM,2023,03,01,04,39.8,112,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 05:00 AM,2023,03,01,05,37.6,106,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 06:00 AM,2023,03,01,06,42.2,117,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 07:00 AM,2023,03,01,07,41.2,115,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 08:00 AM,2023,03,01,08,40.2,113,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 09:00 AM,2023,03,01,09,44.5,123,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 10:00 AM,2023,03,01,10,49.6,136,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 11:00 AM,2023,03,01,11,53.3,145,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 12:00 PM,2023,03,01,12,57.3,152,Unhealthy,62.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 01:00 PM,2023,03,01,13,53.5,145,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 02:00 PM,2023,03,01,14,56.4,151,Unhealthy,60.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 03:00 PM,2023,03,01,15,57.1,152,Unhealthy,58.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 04:00 PM,2023,03,01,16,56.1,151,Unhealthy,55.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 05:00 PM,2023,03,01,17,56.4,151,Unhealthy,57.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 06:00 PM,2023,03,01,18,60.9,154,Unhealthy,67.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 07:00 PM,2023,03,01,19,70.4,159,Unhealthy,79.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 08:00 PM,2023,03,01,20,86.2,167,Unhealthy,102.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 09:00 PM,2023,03,01,21,92.6,170,Unhealthy,99.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 10:00 PM,2023,03,01,22,95.8,172,Unhealthy,99.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-01 11:00 PM,2023,03,01,23,96.9,172,Unhealthy,98.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 12:00 AM,2023,03,02,00,94.9,171,Unhealthy,93.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 01:00 AM,2023,03,02,01,89.8,169,Unhealthy,84.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 02:00 AM,2023,03,02,02,78.3,163,Unhealthy,65.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 03:00 AM,2023,03,02,03,68.9,158,Unhealthy,58.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 04:00 AM,2023,03,02,04,59.3,153,Unhealthy,51.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 05:00 AM,2023,03,02,05,53.6,146,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 06:00 AM,2023,03,02,06,49.8,136,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 07:00 AM,2023,03,02,07,49.9,136,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 08:00 AM,2023,03,02,08,50.4,138,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 09:00 AM,2023,03,02,09,50.2,137,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 10:00 AM,2023,03,02,10,47.1,130,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 11:00 AM,2023,03,02,11,47.0,129,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 12:00 PM,2023,03,02,12,48.9,134,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 01:00 PM,2023,03,02,13,49.5,135,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 02:00 PM,2023,03,02,14,48.7,134,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 03:00 PM,2023,03,02,15,49.2,135,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 04:00 PM,2023,03,02,16,48.9,134,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 05:00 PM,2023,03,02,17,48.8,134,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 06:00 PM,2023,03,02,18,48.9,134,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 07:00 PM,2023,03,02,19,49.9,136,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 08:00 PM,2023,03,02,20,51.7,141,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 09:00 PM,2023,03,02,21,56.1,151,Unhealthy,64.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 10:00 PM,2023,03,02,22,57.7,152,Unhealthy,64.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-02 11:00 PM,2023,03,02,23,59.2,153,Unhealthy,63.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-03 12:00 AM,2023,03,03,00,61.0,154,Unhealthy,65.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-03 01:00 AM,2023,03,03,01,65.6,156,Unhealthy,72.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-03 02:00 AM,2023,03,03,02,67.6,157,Unhealthy,72.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-03 03:00 AM,2023,03,03,03,67.1,157,Unhealthy,66.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-03 04:00 AM,2023,03,03,04,66.8,157,Unhealthy,66.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-03 05:00 AM,2023,03,03,05,66.2,157,Unhealthy,65.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-03 06:00 AM,2023,03,03,06,64.0,155,Unhealthy,58.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-03 07:00 AM,2023,03,03,07,62.4,155,Unhealthy,56.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-03 08:00 AM,2023,03,03,08,63.5,155,Unhealthy,67.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2023-03-03 09:00 AM,2023,03,03,09,63.8,155,Unhealthy,65.0,UG/M3,1 Hr,Valid
