Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guangzhou,O3,2025-04-27 05:00 AM,2025,04,27,05,27.0,25,Good,26.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 06:00 AM,2025,04,27,06,27.0,25,Good,27.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 07:00 AM,2025,04,27,07,26.0,24,Good,26.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 08:00 AM,2025,04,27,08,23.0,21,Good,22.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 09:00 AM,2025,04,27,09,24.0,22,Good,23.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 10:00 AM,2025,04,27,10,24.0,22,Good,22.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 11:00 AM,2025,04,27,11,25.0,23,Good,25.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 12:00 PM,2025,04,27,12,27.0,25,Good,27.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 01:00 PM,2025,04,27,13,27.0,25,Good,26.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 02:00 PM,2025,04,27,14,33.0,31,Good,34.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 03:00 PM,2025,04,27,15,40.0,37,Good,42.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 04:00 PM,2025,04,27,16,40.0,37,Good,41.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 05:00 PM,2025,04,27,17,39.0,36,Good,41.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 06:00 PM,2025,04,27,18,29.0,27,Good,29.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 07:00 PM,2025,04,27,19,31.0,29,Good,31.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 08:00 PM,2025,04,27,20,29.0,27,Good,29.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 09:00 PM,2025,04,27,21,32.0,30,Good,33.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 10:00 PM,2025,04,27,22,34.0,31,Good,35.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-27 11:00 PM,2025,04,27,23,26.0,24,Good,26.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 12:00 AM,2025,04,28,00,23.0,21,Good,22.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 01:00 AM,2025,04,28,01,22.0,20,Good,21.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 02:00 AM,2025,04,28,02,16.0,15,Good,14.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 03:00 AM,2025,04,28,03,14.0,13,Good,11.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 04:00 AM,2025,04,28,04,14.0,13,Good,-999.0,PPB,1 Hr,Missing
Guangzhou,O3,2025-04-28 05:00 AM,2025,04,28,05,8.0,7,Good,4.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 06:00 AM,2025,04,28,06,6.0,6,Good,2.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 07:00 AM,2025,04,28,07,6.0,6,Good,2.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 08:00 AM,2025,04,28,08,8.0,7,Good,4.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 09:00 AM,2025,04,28,09,15.0,14,Good,12.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 10:00 AM,2025,04,28,10,22.0,20,Good,21.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 11:00 AM,2025,04,28,11,30.0,28,Good,30.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 12:00 PM,2025,04,28,12,42.0,39,Good,45.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 01:00 PM,2025,04,28,13,54.0,50,Good,58.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 02:00 PM,2025,04,28,14,59.0,64,Moderate,64.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 03:00 PM,2025,04,28,15,62.0,74,Moderate,67.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 04:00 PM,2025,04,28,16,65.0,84,Moderate,71.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 05:00 PM,2025,04,28,17,60.0,67,Moderate,65.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 06:00 PM,2025,04,28,18,50.0,46,Good,53.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 07:00 PM,2025,04,28,19,39.0,36,Good,41.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 08:00 PM,2025,04,28,20,33.0,31,Good,34.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 09:00 PM,2025,04,28,21,25.0,23,Good,24.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 10:00 PM,2025,04,28,22,20.0,19,Good,18.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-28 11:00 PM,2025,04,28,23,24.0,22,Good,23.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 12:00 AM,2025,04,29,00,30.0,28,Good,30.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 01:00 AM,2025,04,29,01,28.0,26,Good,27.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 02:00 AM,2025,04,29,02,23.0,21,Good,22.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 03:00 AM,2025,04,29,03,13.0,12,Good,10.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 04:00 AM,2025,04,29,04,8.0,7,Good,5.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 05:00 AM,2025,04,29,05,17.0,16,Good,15.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 06:00 AM,2025,04,29,06,19.0,18,Good,18.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 07:00 AM,2025,04,29,07,20.0,19,Good,18.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 08:00 AM,2025,04,29,08,30.0,28,Good,30.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 09:00 AM,2025,04,29,09,36.0,33,Good,38.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 10:00 AM,2025,04,29,10,44.0,41,Good,47.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 11:00 AM,2025,04,29,11,52.0,48,Good,56.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 12:00 PM,2025,04,29,12,68.0,93,Moderate,75.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 01:00 PM,2025,04,29,13,97.0,179,Unhealthy,109.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 02:00 PM,2025,04,29,14,110.0,205,Very Unhealthy,125.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 03:00 PM,2025,04,29,15,107.0,202,Very Unhealthy,120.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 04:00 PM,2025,04,29,16,105.0,200,Unhealthy,118.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 05:00 PM,2025,04,29,17,106.0,201,Very Unhealthy,119.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 06:00 PM,2025,04,29,18,96.0,177,Unhealthy,108.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 07:00 PM,2025,04,29,19,83.0,143,Unhealthy for Sensitive Groups,93.0,PPB,1 Hr,Valid
Guangzhou,O3,2025-04-29 08:00 PM,2025,04,29,20,76.0,119,Unhealthy for Sensitive Groups,85.0,PPB,1 Hr,Valid
