Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guatemala City,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,88.8,168,Unhealthy,139.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,50.5,138,Unhealthy for Sensitive Groups,17.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,28.5,85,Moderate,8.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,17.1,62,Moderate,6.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,11.5,48,Good,6.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,8.7,36,Good,6.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,9.3,39,Good,10.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,9.6,40,Good,10.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,10.3,43,Good,11.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,9.1,38,Good,8.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,9.5,40,Good,10.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,8.7,36,Good,8.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,8.3,35,Good,8.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,7.3,30,Good,6.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,5.5,23,Good,4.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,4.2,18,Good,3.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,5.1,21,Good,6.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,6.0,25,Good,7.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,18.0,63,Moderate,30.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,28.5,85,Moderate,39.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,37.2,105,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,38.6,109,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,36.3,103,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,27.1,83,Moderate,18.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,27.1,83,Moderate,-999.0,UG/M3,1 Hr,Missing
Guatemala City,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,17.7,63,Moderate,13.0,UG/M3,1 Hr,Valid
