Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guatemala City,O3,2021-11-14 09:00 AM,2021,11,14,09,19.0,18,Good,17.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 10:00 AM,2021,11,14,10,20.0,19,Good,18.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 11:00 AM,2021,11,14,11,19.0,18,Good,17.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 12:00 PM,2021,11,14,12,19.0,18,Good,17.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 01:00 PM,2021,11,14,13,19.0,18,Good,17.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 02:00 PM,2021,11,14,14,19.0,18,Good,17.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 03:00 PM,2021,11,14,15,19.0,18,Good,17.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 04:00 PM,2021,11,14,16,16.0,15,Good,14.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 05:00 PM,2021,11,14,17,16.0,15,Good,13.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 06:00 PM,2021,11,14,18,14.0,13,Good,11.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 07:00 PM,2021,11,14,19,13.0,12,Good,10.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 08:00 PM,2021,11,14,20,12.0,11,Good,9.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 09:00 PM,2021,11,14,21,13.0,12,Good,10.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 10:00 PM,2021,11,14,22,15.0,14,Good,13.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-14 11:00 PM,2021,11,14,23,17.0,16,Good,15.0,PPB,1 Hr,Valid
Guatemala City,O3,2021-11-15 12:00 AM,2021,11,15,00,18.0,17,Good,16.0,PPB,1 Hr,Valid
