Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guatemala City,PM2.5 - Principal,2022-03-01 01:00 AM,2022,03,01,01,6.3,26,Good,6.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 02:00 AM,2022,03,01,02,5.1,21,Good,4.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 03:00 AM,2022,03,01,03,4.5,19,Good,4.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 04:00 AM,2022,03,01,04,4.7,20,Good,5.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 05:00 AM,2022,03,01,05,5.8,24,Good,7.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 06:00 AM,2022,03,01,06,4.9,20,Good,4.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 07:00 AM,2022,03,01,07,5.4,23,Good,6.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 08:00 AM,2022,03,01,08,6.7,28,Good,8.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 09:00 AM,2022,03,01,09,5.8,24,Good,5.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 10:00 AM,2022,03,01,10,6.4,27,Good,7.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 11:00 AM,2022,03,01,11,5.7,24,Good,5.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 12:00 PM,2022,03,01,12,3.8,16,Good,2.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 01:00 PM,2022,03,01,13,2.9,12,Good,2.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 02:00 PM,2022,03,01,14,2.9,12,Good,3.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 03:00 PM,2022,03,01,15,4.9,20,Good,7.0,UG/M3,1 Hr,Valid
Guatemala City,PM2.5 - Principal,2022-03-01 04:00 PM,2022,03,01,16,5.4,23,Good,6.0,UG/M3,1 Hr,Valid
