Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guatemala City,O3,2024-03-04 02:00 PM,2024,03,04,14,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-04 03:00 PM,2024,03,04,15,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-04 04:00 PM,2024,03,04,16,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-04 05:00 PM,2024,03,04,17,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-04 06:00 PM,2024,03,04,18,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-04 07:00 PM,2024,03,04,19,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-04 08:00 PM,2024,03,04,20,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-04 09:00 PM,2024,03,04,21,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-04 10:00 PM,2024,03,04,22,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-04 11:00 PM,2024,03,04,23,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 12:00 AM,2024,03,05,00,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 01:00 AM,2024,03,05,01,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 02:00 AM,2024,03,05,02,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 03:00 AM,2024,03,05,03,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 04:00 AM,2024,03,05,04,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 05:00 AM,2024,03,05,05,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 06:00 AM,2024,03,05,06,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 07:00 AM,2024,03,05,07,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 08:00 AM,2024,03,05,08,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 09:00 AM,2024,03,05,09,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 10:00 AM,2024,03,05,10,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 11:00 AM,2024,03,05,11,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 12:00 PM,2024,03,05,12,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 01:00 PM,2024,03,05,13,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 02:00 PM,2024,03,05,14,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 03:00 PM,2024,03,05,15,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 04:00 PM,2024,03,05,16,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 05:00 PM,2024,03,05,17,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 06:00 PM,2024,03,05,18,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 07:00 PM,2024,03,05,19,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 08:00 PM,2024,03,05,20,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 09:00 PM,2024,03,05,21,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 10:00 PM,2024,03,05,22,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-05 11:00 PM,2024,03,05,23,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 12:00 AM,2024,03,06,00,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 01:00 AM,2024,03,06,01,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 02:00 AM,2024,03,06,02,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 03:00 AM,2024,03,06,03,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 05:00 AM,2024,03,06,05,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 06:00 AM,2024,03,06,06,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 07:00 AM,2024,03,06,07,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 08:00 AM,2024,03,06,08,4.0,4,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 09:00 AM,2024,03,06,09,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 10:00 AM,2024,03,06,10,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 11:00 AM,2024,03,06,11,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 12:00 PM,2024,03,06,12,3.0,3,Good,0.0,PPB,1 Hr,Valid
Guatemala City,O3,2024-03-06 01:00 PM,2024,03,06,13,3.0,3,Good,-999.0,PPB,1 Hr,Missing
Guatemala City,O3,2024-03-06 02:00 PM,2024,03,06,14,3.0,3,Good,-999.0,PPB,1 Hr,Missing
