Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guatemala City,PM10 - Principal,2024-09-01 01:00 AM,2024,09,01,01,24.0,22,Good,26.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 02:00 AM,2024,09,01,02,23.0,21,Good,21.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 03:00 AM,2024,09,01,03,22.0,20,Good,21.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 04:00 AM,2024,09,01,04,20.0,19,Good,18.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 05:00 AM,2024,09,01,05,19.0,18,Good,18.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 06:00 AM,2024,09,01,06,20.0,19,Good,21.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 07:00 AM,2024,09,01,07,21.0,19,Good,24.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 08:00 AM,2024,09,01,08,21.0,19,Good,20.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 09:00 AM,2024,09,01,09,18.0,17,Good,16.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 10:00 AM,2024,09,01,10,23.0,21,Good,30.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 11:00 AM,2024,09,01,11,28.0,26,Good,33.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 12:00 PM,2024,09,01,12,21.0,19,Good,14.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 01:00 PM,2024,09,01,13,20.0,19,Good,20.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 02:00 PM,2024,09,01,14,24.0,22,Good,28.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 03:00 PM,2024,09,01,15,17.0,16,Good,11.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 04:00 PM,2024,09,01,16,21.0,19,Good,26.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 05:00 PM,2024,09,01,17,20.0,19,Good,19.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 06:00 PM,2024,09,01,18,27.0,25,Good,35.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 07:00 PM,2024,09,01,19,29.0,27,Good,32.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 08:00 PM,2024,09,01,20,30.0,28,Good,31.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 09:00 PM,2024,09,01,21,29.0,27,Good,28.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 10:00 PM,2024,09,01,22,26.0,24,Good,24.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-01 11:00 PM,2024,09,01,23,24.0,22,Good,22.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 12:00 AM,2024,09,02,00,22.0,20,Good,20.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 01:00 AM,2024,09,02,01,23.0,21,Good,24.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 02:00 AM,2024,09,02,02,19.0,18,Good,15.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 03:00 AM,2024,09,02,03,15.0,14,Good,11.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 04:00 AM,2024,09,02,04,16.0,15,Good,17.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 05:00 AM,2024,09,02,05,18.0,17,Good,20.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 06:00 AM,2024,09,02,06,22.0,20,Good,26.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 07:00 AM,2024,09,02,07,25.0,23,Good,28.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 08:00 AM,2024,09,02,08,30.0,28,Good,35.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 09:00 AM,2024,09,02,09,28.0,26,Good,26.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 10:00 AM,2024,09,02,10,30.0,28,Good,32.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 11:00 AM,2024,09,02,11,27.0,25,Good,24.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 12:00 PM,2024,09,02,12,27.0,25,Good,28.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 01:00 PM,2024,09,02,13,24.0,22,Good,21.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 02:00 PM,2024,09,02,14,30.0,28,Good,36.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 03:00 PM,2024,09,02,15,29.0,27,Good,29.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 04:00 PM,2024,09,02,16,28.0,26,Good,28.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 05:00 PM,2024,09,02,17,37.0,34,Good,46.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 06:00 PM,2024,09,02,18,34.0,31,Good,31.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 07:00 PM,2024,09,02,19,34.0,31,Good,35.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 08:00 PM,2024,09,02,20,30.0,28,Good,27.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 09:00 PM,2024,09,02,21,22.0,20,Good,14.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 10:00 PM,2024,09,02,22,18.0,17,Good,15.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-02 11:00 PM,2024,09,02,23,15.0,14,Good,12.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 12:00 AM,2024,09,03,00,11.0,10,Good,8.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 01:00 AM,2024,09,03,01,8.0,7,Good,5.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 02:00 AM,2024,09,03,02,9.0,8,Good,10.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 03:00 AM,2024,09,03,03,9.0,8,Good,10.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 04:00 AM,2024,09,03,04,11.0,10,Good,14.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 05:00 AM,2024,09,03,05,10.0,9,Good,10.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 06:00 AM,2024,09,03,06,11.0,10,Good,13.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 07:00 AM,2024,09,03,07,15.0,14,Good,20.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 08:00 AM,2024,09,03,08,22.0,20,Good,30.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 09:00 AM,2024,09,03,09,29.0,27,Good,37.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 10:00 AM,2024,09,03,10,37.0,34,Good,45.0,UG/M3,1 Hr,Valid
Guatemala City,PM10 - Principal,2024-09-03 11:00 AM,2024,09,03,11,37.0,34,Good,38.0,UG/M3,1 Hr,Valid
