Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2016-11-01 01:00 AM,2016,11,01,01,46.4,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 02:00 AM,2016,11,01,02,29.8,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 03:00 AM,2016,11,01,03,25.0,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 04:00 AM,2016,11,01,04,24.5,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 05:00 AM,2016,11,01,05,13.1,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 06:00 AM,2016,11,01,06,16.3,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 07:00 AM,2016,11,01,07,25.7,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 08:00 AM,2016,11,01,08,18.9,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 09:00 AM,2016,11,01,09,16.7,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 10:00 AM,2016,11,01,10,10.1,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 11:00 AM,2016,11,01,11,13.8,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 12:00 PM,2016,11,01,12,11.3,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 01:00 PM,2016,11,01,13,20.7,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 02:00 PM,2016,11,01,14,14.0,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 03:00 PM,2016,11,01,15,16.0,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 04:00 PM,2016,11,01,16,16.8,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 05:00 PM,2016,11,01,17,14.2,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 06:00 PM,2016,11,01,18,19.9,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 07:00 PM,2016,11,01,19,19.0,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 08:00 PM,2016,11,01,20,21.0,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 09:00 PM,2016,11,01,21,22.0,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 10:00 PM,2016,11,01,22,24.2,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-01 11:00 PM,2016,11,01,23,29.6,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-02 12:00 AM,2016,11,02,00,19.8,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-02 01:00 AM,2016,11,02,01,15.0,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-02 02:00 AM,2016,11,02,02,17.0,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-02 03:00 AM,2016,11,02,03,19.5,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-02 04:00 AM,2016,11,02,04,35.2,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-02 05:00 AM,2016,11,02,05,41.1,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-02 06:00 AM,2016,11,02,06,45.4,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-02 07:00 AM,2016,11,02,07,29.0,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-02 08:00 AM,2016,11,02,08,29.8,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-02 09:00 AM,2016,11,02,09,25.0,,,,,,,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-11-02 10:00 AM,2016,11,02,10,24.9,,,,,,,UG/M3,1 Hr,Valid
