Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2016-02-01 08:00 AM,2016,02,01,08,13.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 09:00 AM,2016,02,01,09,17.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 10:00 AM,2016,02,01,10,19.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 11:00 AM,2016,02,01,11,28.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 12:00 PM,2016,02,01,12,30.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 01:00 PM,2016,02,01,13,31.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 02:00 PM,2016,02,01,14,30.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 03:00 PM,2016,02,01,15,25.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 04:00 PM,2016,02,01,16,26.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 05:00 PM,2016,02,01,17,29.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 06:00 PM,2016,02,01,18,31.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 07:00 PM,2016,02,01,19,30.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 08:00 PM,2016,02,01,20,27.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 09:00 PM,2016,02,01,21,29.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 10:00 PM,2016,02,01,22,30.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-01 11:00 PM,2016,02,01,23,29.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-02 12:00 AM,2016,02,02,00,26.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-02 01:00 AM,2016,02,02,01,37.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-02 02:00 AM,2016,02,02,02,28.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-02 03:00 AM,2016,02,02,03,33.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-02 04:00 AM,2016,02,02,04,33.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-02 05:00 AM,2016,02,02,05,35.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-02 06:00 AM,2016,02,02,06,30.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-02 07:00 AM,2016,02,02,07,30.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-02 08:00 AM,2016,02,02,08,36.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-02 09:00 AM,2016,02,02,09,37.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-02-02 10:00 AM,2016,02,02,10,46.8,UG/M3,1 Hr,Valid
