Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2016-04-01 08:00 AM,2016,04,01,08,165,Unhealthy,83.4,114.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 09:00 AM,2016,04,01,09,165,Unhealthy,83.1,99.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 10:00 AM,2016,04,01,10,165,Unhealthy,82.9,106.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 11:00 AM,2016,04,01,11,165,Unhealthy,82.1,105.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 12:00 PM,2016,04,01,12,164,Unhealthy,81.4,87.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 01:00 PM,2016,04,01,13,164,Unhealthy,80.1,64.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 02:00 PM,2016,04,01,14,163,Unhealthy,78.5,59.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 03:00 PM,2016,04,01,15,162,Unhealthy,76.3,79.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 04:00 PM,2016,04,01,16,161,Unhealthy,74.3,65.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 05:00 PM,2016,04,01,17,160,Unhealthy,72.1,58.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 06:00 PM,2016,04,01,18,158,Unhealthy,70.0,54.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 07:00 PM,2016,04,01,19,157,Unhealthy,66.3,57.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 08:00 PM,2016,04,01,20,155,Unhealthy,62.7,51.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 09:00 PM,2016,04,01,21,153,Unhealthy,59.7,52.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 10:00 PM,2016,04,01,22,152,Unhealthy,57.6,44.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-01 11:00 PM,2016,04,01,23,150,Unhealthy for Sensitive Groups,55.4,51.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 12:00 AM,2016,04,02,00,145,Unhealthy for Sensitive Groups,53.5,48.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 01:00 AM,2016,04,02,01,141,Unhealthy for Sensitive Groups,51.8,43.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 02:00 AM,2016,04,02,02,139,Unhealthy for Sensitive Groups,51.1,34.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 03:00 AM,2016,04,02,03,138,Unhealthy for Sensitive Groups,50.4,44.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 04:00 AM,2016,04,02,04,134,Unhealthy for Sensitive Groups,48.8,43.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 05:00 AM,2016,04,02,05,131,Unhealthy for Sensitive Groups,47.8,52.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 06:00 AM,2016,04,02,06,129,Unhealthy for Sensitive Groups,46.9,43.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 07:00 AM,2016,04,02,07,127,Unhealthy for Sensitive Groups,46.0,40.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 08:00 AM,2016,04,02,08,125,Unhealthy for Sensitive Groups,45.1,43.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 09:00 AM,2016,04,02,09,123,Unhealthy for Sensitive Groups,44.4,49.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 10:00 AM,2016,04,02,10,121,Unhealthy for Sensitive Groups,43.8,53.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 11:00 AM,2016,04,02,11,120,Unhealthy for Sensitive Groups,43.4,59.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 12:00 PM,2016,04,02,12,118,Unhealthy for Sensitive Groups,42.6,46.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 01:00 PM,2016,04,02,13,117,Unhealthy for Sensitive Groups,42.1,49.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 02:00 PM,2016,04,02,14,117,Unhealthy for Sensitive Groups,41.9,42.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 03:00 PM,2016,04,02,15,118,Unhealthy for Sensitive Groups,42.5,41.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 04:00 PM,2016,04,02,16,119,Unhealthy for Sensitive Groups,42.8,41.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 05:00 PM,2016,04,02,17,120,Unhealthy for Sensitive Groups,43.2,36.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 06:00 PM,2016,04,02,18,119,Unhealthy for Sensitive Groups,43.0,31.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 07:00 PM,2016,04,02,19,121,Unhealthy for Sensitive Groups,43.6,35.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 08:00 PM,2016,04,02,20,123,Unhealthy for Sensitive Groups,44.6,35.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 09:00 PM,2016,04,02,21,126,Unhealthy for Sensitive Groups,45.6,37.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 10:00 PM,2016,04,02,22,126,Unhealthy for Sensitive Groups,45.7,34.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-02 11:00 PM,2016,04,02,23,126,Unhealthy for Sensitive Groups,45.7,34.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-03 12:00 AM,2016,04,03,00,126,Unhealthy for Sensitive Groups,45.6,36.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-03 01:00 AM,2016,04,03,01,126,Unhealthy for Sensitive Groups,45.7,39.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-03 02:00 AM,2016,04,03,02,126,Unhealthy for Sensitive Groups,45.5,48.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-03 03:00 AM,2016,04,03,03,127,Unhealthy for Sensitive Groups,46.2,51.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-04-03 04:00 AM,2016,04,03,04,130,Unhealthy for Sensitive Groups,47.3,53.7,UG/M3,1 Hr,Valid
