Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2023-01-01 01:00 AM,2023,01,01,01,70.3,159,Unhealthy,71.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 02:00 AM,2023,01,01,02,73.2,160,Unhealthy,77.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 03:00 AM,2023,01,01,03,81.4,164,Unhealthy,92.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 04:00 AM,2023,01,01,04,74.2,161,Unhealthy,64.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 05:00 AM,2023,01,01,05,73.4,160,Unhealthy,72.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 06:00 AM,2023,01,01,06,69.9,158,Unhealthy,64.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 07:00 AM,2023,01,01,07,67.3,157,Unhealthy,63.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 08:00 AM,2023,01,01,08,67.1,157,Unhealthy,67.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 09:00 AM,2023,01,01,09,70.0,158,Unhealthy,75.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 10:00 AM,2023,01,01,10,65.0,156,Unhealthy,57.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 11:00 AM,2023,01,01,11,63.8,155,Unhealthy,62.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 12:00 PM,2023,01,01,12,62.0,154,Unhealthy,59.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 01:00 PM,2023,01,01,13,59.5,153,Unhealthy,56.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 02:00 PM,2023,01,01,14,51.2,140,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 03:00 PM,2023,01,01,15,52.1,142,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 04:00 PM,2023,01,01,16,49.5,135,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 05:00 PM,2023,01,01,17,56.7,152,Unhealthy,67.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 06:00 PM,2023,01,01,18,65.5,156,Unhealthy,77.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 07:00 PM,2023,01,01,19,85.6,167,Unhealthy,104.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 08:00 PM,2023,01,01,20,88.3,168,Unhealthy,91.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 09:00 PM,2023,01,01,21,92.6,170,Unhealthy,97.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 10:00 PM,2023,01,01,22,97.3,173,Unhealthy,102.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-01 11:00 PM,2023,01,01,23,98.6,173,Unhealthy,100.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-02 12:00 AM,2023,01,02,00,116.8,183,Unhealthy,135.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-02 01:00 AM,2023,01,02,01,124.9,187,Unhealthy,133.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-02 02:00 AM,2023,01,02,02,123.4,186,Unhealthy,122.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-02 03:00 AM,2023,01,02,03,121.2,185,Unhealthy,119.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-02 04:00 AM,2023,01,02,04,124.1,186,Unhealthy,127.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-02 05:00 AM,2023,01,02,05,124.5,187,Unhealthy,126.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2023-01-02 06:00 AM,2023,01,02,06,126.6,188,Unhealthy,133.0,UG/M3,1 Hr,Valid
