Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 01:00 AM,2016,11,01,01,50.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 02:00 AM,2016,11,01,02,67.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 03:00 AM,2016,11,01,03,65.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 04:00 AM,2016,11,01,04,69.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 05:00 AM,2016,11,01,05,97.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 06:00 AM,2016,11,01,06,91.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 07:00 AM,2016,11,01,07,67.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 08:00 AM,2016,11,01,08,94.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 09:00 AM,2016,11,01,09,94.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 10:00 AM,2016,11,01,10,104.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 11:00 AM,2016,11,01,11,93.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 12:00 PM,2016,11,01,12,72.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 01:00 PM,2016,11,01,13,72.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 02:00 PM,2016,11,01,14,58.0,,,,,,,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-11-01 03:00 PM,2016,11,01,15,112.0,,,,,,,UG/M3,1 Hr,Valid
