Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-02-05 01:00 PM,2016,02,05,13,49.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-05 02:00 PM,2016,02,05,14,45.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-05 03:00 PM,2016,02,05,15,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-05 04:00 PM,2016,02,05,16,41.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-05 05:00 PM,2016,02,05,17,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-05 06:00 PM,2016,02,05,18,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-05 07:00 PM,2016,02,05,19,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-05 08:00 PM,2016,02,05,20,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-05 09:00 PM,2016,02,05,21,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-05 10:00 PM,2016,02,05,22,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-05 11:00 PM,2016,02,05,23,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 12:00 AM,2016,02,06,00,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 01:00 AM,2016,02,06,01,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 02:00 AM,2016,02,06,02,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 03:00 AM,2016,02,06,03,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 04:00 AM,2016,02,06,04,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 05:00 AM,2016,02,06,05,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 06:00 AM,2016,02,06,06,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 07:00 AM,2016,02,06,07,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 08:00 AM,2016,02,06,08,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 09:00 AM,2016,02,06,09,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 10:00 AM,2016,02,06,10,-999.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 11:00 AM,2016,02,06,11,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 12:00 PM,2016,02,06,12,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 01:00 PM,2016,02,06,13,34.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 02:00 PM,2016,02,06,14,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 03:00 PM,2016,02,06,15,34.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 04:00 PM,2016,02,06,16,36.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 05:00 PM,2016,02,06,17,40.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 06:00 PM,2016,02,06,18,29.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 07:00 PM,2016,02,06,19,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 08:00 PM,2016,02,06,20,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 09:00 PM,2016,02,06,21,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 10:00 PM,2016,02,06,22,29.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-06 11:00 PM,2016,02,06,23,30.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 12:00 AM,2016,02,07,00,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 01:00 AM,2016,02,07,01,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 02:00 AM,2016,02,07,02,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 03:00 AM,2016,02,07,03,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 04:00 AM,2016,02,07,04,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 05:00 AM,2016,02,07,05,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 06:00 AM,2016,02,07,06,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 07:00 AM,2016,02,07,07,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 08:00 AM,2016,02,07,08,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 09:00 AM,2016,02,07,09,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 10:00 AM,2016,02,07,10,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 11:00 AM,2016,02,07,11,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 12:00 PM,2016,02,07,12,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 01:00 PM,2016,02,07,13,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 02:00 PM,2016,02,07,14,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 03:00 PM,2016,02,07,15,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 04:00 PM,2016,02,07,16,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-02-07 05:00 PM,2016,02,07,17,22.0,UG/M3,1 Hr,Valid
