Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 08:00 AM,2016,08,01,08,74,Moderate,23.0,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 09:00 AM,2016,08,01,09,75,Moderate,23.4,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 10:00 AM,2016,08,01,10,75,Moderate,23.5,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 11:00 AM,2016,08,01,11,75,Moderate,23.3,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 12:00 PM,2016,08,01,12,75,Moderate,23.5,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 01:00 PM,2016,08,01,13,75,Moderate,23.6,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 02:00 PM,2016,08,01,14,74,Moderate,22.9,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 03:00 PM,2016,08,01,15,73,Moderate,22.6,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 04:00 PM,2016,08,01,16,73,Moderate,22.4,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 05:00 PM,2016,08,01,17,72,Moderate,22.2,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 06:00 PM,2016,08,01,18,71,Moderate,21.7,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 07:00 PM,2016,08,01,19,71,Moderate,21.4,34.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 08:00 PM,2016,08,01,20,70,Moderate,21.2,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 09:00 PM,2016,08,01,21,69,Moderate,20.7,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 10:00 PM,2016,08,01,22,69,Moderate,20.5,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-01 11:00 PM,2016,08,01,23,68,Moderate,20.2,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 12:00 AM,2016,08,02,00,67,Moderate,19.9,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 01:00 AM,2016,08,02,01,68,Moderate,20.1,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 02:00 AM,2016,08,02,02,67,Moderate,19.8,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 03:00 AM,2016,08,02,03,66,Moderate,19.4,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 04:00 AM,2016,08,02,04,65,Moderate,18.7,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 05:00 AM,2016,08,02,05,64,Moderate,18.5,11.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 06:00 AM,2016,08,02,06,66,Moderate,19.0,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 07:00 AM,2016,08,02,07,65,Moderate,18.7,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 08:00 AM,2016,08,02,08,63,Moderate,18.0,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 09:00 AM,2016,08,02,09,63,Moderate,17.6,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 10:00 AM,2016,08,02,10,63,Moderate,17.9,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 11:00 AM,2016,08,02,11,64,Moderate,18.2,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-08-02 12:00 PM,2016,08,02,12,64,Moderate,18.1,19.0,UG/M3,1 Hr,Valid
