Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 01:00 AM,2020,11,01,01,25.3,79,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 02:00 AM,2020,11,01,02,25.6,79,Moderate,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 03:00 AM,2020,11,01,03,25.8,80,Moderate,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 04:00 AM,2020,11,01,04,23.4,75,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 05:00 AM,2020,11,01,05,21.2,70,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 06:00 AM,2020,11,01,06,20.1,68,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 07:00 AM,2020,11,01,07,18.0,63,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 08:00 AM,2020,11,01,08,16.5,60,Moderate,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 09:00 AM,2020,11,01,09,14.7,56,Moderate,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 10:00 AM,2020,11,01,10,13.8,55,Moderate,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 11:00 AM,2020,11,01,11,12.4,52,Moderate,11.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 12:00 PM,2020,11,01,12,13.7,54,Moderate,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 01:00 PM,2020,11,01,13,13.3,54,Moderate,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 02:00 PM,2020,11,01,14,16.1,59,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 03:00 PM,2020,11,01,15,16.5,60,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 04:00 PM,2020,11,01,16,16.1,59,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 05:00 PM,2020,11,01,17,19.1,66,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 06:00 PM,2020,11,01,18,18.5,64,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 07:00 PM,2020,11,01,19,20.2,68,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 08:00 PM,2020,11,01,20,22.1,72,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 09:00 PM,2020,11,01,21,15.5,58,Moderate,9.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 10:00 PM,2020,11,01,22,14.7,56,Moderate,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-01 11:00 PM,2020,11,01,23,14.8,57,Moderate,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-02 12:00 AM,2020,11,02,00,10.4,43,Good,6.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-11-02 01:00 AM,2020,11,02,01,6.7,28,Good,3.0,UG/M3,1 Hr,Valid
