Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Hyderabad,PM2.5 - Principal,2016-02-01 07:00 AM,2016,02,01,07,82.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 08:00 AM,2016,02,01,08,141.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 09:00 AM,2016,02,01,09,132.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 10:00 AM,2016,02,01,10,80.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 11:00 AM,2016,02,01,11,80.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 12:00 PM,2016,02,01,12,63.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 01:00 PM,2016,02,01,13,48.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 02:00 PM,2016,02,01,14,50.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 03:00 PM,2016,02,01,15,50.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 04:00 PM,2016,02,01,16,51.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 05:00 PM,2016,02,01,17,54.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 06:00 PM,2016,02,01,18,70.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 07:00 PM,2016,02,01,19,82.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 08:00 PM,2016,02,01,20,90.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 09:00 PM,2016,02,01,21,89.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 10:00 PM,2016,02,01,22,84.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-01 11:00 PM,2016,02,01,23,103.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 12:00 AM,2016,02,02,00,139.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 01:00 AM,2016,02,02,01,100.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 02:00 AM,2016,02,02,02,98.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 03:00 AM,2016,02,02,03,85.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 04:00 AM,2016,02,02,04,61.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 05:00 AM,2016,02,02,05,67.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 06:00 AM,2016,02,02,06,66.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 07:00 AM,2016,02,02,07,70.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 08:00 AM,2016,02,02,08,78.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 09:00 AM,2016,02,02,09,121.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 10:00 AM,2016,02,02,10,61.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 11:00 AM,2016,02,02,11,49.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-02-02 12:00 PM,2016,02,02,12,48.0,UG/M3,1 Hr,Valid
