Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Hyderabad,PM2.5 - Principal,2016-09-01 07:00 AM,2016,09,01,07,74,Moderate,23.0,26.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 08:00 AM,2016,09,01,08,75,Moderate,23.3,28.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 09:00 AM,2016,09,01,09,75,Moderate,23.7,34.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 10:00 AM,2016,09,01,10,77,Moderate,24.4,22.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 11:00 AM,2016,09,01,11,75,Moderate,23.7,21.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 12:00 PM,2016,09,01,12,76,Moderate,24.0,8.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 01:00 PM,2016,09,01,13,75,Moderate,23.5,11.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 02:00 PM,2016,09,01,14,74,Moderate,23.1,12.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 03:00 PM,2016,09,01,15,74,Moderate,22.8,23.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 04:00 PM,2016,09,01,16,72,Moderate,22.2,17.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 05:00 PM,2016,09,01,17,72,Moderate,22.1,28.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 06:00 PM,2016,09,01,18,72,Moderate,22.0,25.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 07:00 PM,2016,09,01,19,71,Moderate,21.8,29.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 08:00 PM,2016,09,01,20,71,Moderate,21.5,41.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 09:00 PM,2016,09,01,21,70,Moderate,21.2,43.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 10:00 PM,2016,09,01,22,69,Moderate,20.5,19.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-01 11:00 PM,2016,09,01,23,69,Moderate,20.5,27.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 12:00 AM,2016,09,02,00,68,Moderate,20.4,16.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 01:00 AM,2016,09,02,01,70,Moderate,20.9,14.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 02:00 AM,2016,09,02,02,71,Moderate,21.4,19.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 03:00 AM,2016,09,02,03,72,Moderate,21.9,16.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 04:00 AM,2016,09,02,04,71,Moderate,21.8,14.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 05:00 AM,2016,09,02,05,72,Moderate,22.0,16.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 06:00 AM,2016,09,02,06,71,Moderate,21.6,16.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 07:00 AM,2016,09,02,07,71,Moderate,21.4,17.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 08:00 AM,2016,09,02,08,70,Moderate,21.0,22.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 09:00 AM,2016,09,02,09,68,Moderate,20.2,17.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 10:00 AM,2016,09,02,10,67,Moderate,19.5,21.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 11:00 AM,2016,09,02,11,68,Moderate,20.3,20.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 12:00 PM,2016,09,02,12,68,Moderate,20.2,20.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 01:00 PM,2016,09,02,13,69,Moderate,20.5,22.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 02:00 PM,2016,09,02,14,69,Moderate,20.7,24.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 03:00 PM,2016,09,02,15,70,Moderate,21.0,22.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 04:00 PM,2016,09,02,16,70,Moderate,21.0,22.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 05:00 PM,2016,09,02,17,69,Moderate,20.7,18.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 06:00 PM,2016,09,02,18,68,Moderate,20.4,20.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 07:00 PM,2016,09,02,19,68,Moderate,20.2,20.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 08:00 PM,2016,09,02,20,68,Moderate,20.2,22.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 09:00 PM,2016,09,02,21,68,Moderate,20.2,26.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 10:00 PM,2016,09,02,22,68,Moderate,20.3,37.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-02 11:00 PM,2016,09,02,23,68,Moderate,20.2,24.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 12:00 AM,2016,09,03,00,68,Moderate,20.4,24.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 01:00 AM,2016,09,03,01,68,Moderate,20.2,19.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 02:00 AM,2016,09,03,02,68,Moderate,20.1,26.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 03:00 AM,2016,09,03,03,68,Moderate,20.0,16.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 04:00 AM,2016,09,03,04,67,Moderate,19.7,6.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 05:00 AM,2016,09,03,05,66,Moderate,19.3,9.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 06:00 AM,2016,09,03,06,66,Moderate,19.2,12.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 07:00 AM,2016,09,03,07,66,Moderate,19.2,17.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 08:00 AM,2016,09,03,08,67,Moderate,19.5,21.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 09:00 AM,2016,09,03,09,68,Moderate,20.0,20.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 10:00 AM,2016,09,03,10,68,Moderate,20.4,18.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 11:00 AM,2016,09,03,11,67,Moderate,19.8,26.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 12:00 PM,2016,09,03,12,67,Moderate,19.9,15.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 01:00 PM,2016,09,03,13,68,Moderate,20.2,19.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 02:00 PM,2016,09,03,14,68,Moderate,20.4,22.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 03:00 PM,2016,09,03,15,68,Moderate,20.0,14.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 04:00 PM,2016,09,03,16,68,Moderate,20.0,13.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 05:00 PM,2016,09,03,17,68,Moderate,20.3,16.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 06:00 PM,2016,09,03,18,69,Moderate,20.5,19.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 07:00 PM,2016,09,03,19,69,Moderate,20.8,28.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 08:00 PM,2016,09,03,20,69,Moderate,20.7,35.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 09:00 PM,2016,09,03,21,69,Moderate,20.5,34.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 10:00 PM,2016,09,03,22,69,Moderate,20.8,23.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-03 11:00 PM,2016,09,03,23,70,Moderate,21.2,26.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-04 12:00 AM,2016,09,04,00,71,Moderate,21.4,32.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2016-09-04 01:00 AM,2016,09,04,01,73,Moderate,22.4,23.0,UG/M3,1 Hr,Valid
