Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hyderabad,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,82.3,165,Unhealthy,85.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,74.7,161,Unhealthy,67.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,66.8,157,Unhealthy,59.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,57.5,152,Unhealthy,48.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,54.0,147,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,53.1,144,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,50.8,139,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,50.8,139,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,52.2,142,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,56.1,151,Unhealthy,61.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,60.1,153,Unhealthy,65.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,64.3,156,Unhealthy,70.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,62.8,155,Unhealthy,65.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,63.2,155,Unhealthy,64.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,60.3,153,Unhealthy,54.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,58.6,153,Unhealthy,55.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,58.8,153,Unhealthy,59.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,60.8,154,Unhealthy,65.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,67.3,157,Unhealthy,79.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,69.3,158,Unhealthy,75.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,70.2,159,Unhealthy,72.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,70.8,159,Unhealthy,72.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,72.2,160,Unhealthy,75.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,77.2,162,Unhealthy,85.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 02:00 AM,2022,01,02,02,89.1,168,Unhealthy,101.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 03:00 AM,2022,01,02,03,102.5,175,Unhealthy,115.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 04:00 AM,2022,01,02,04,94.2,171,Unhealthy,86.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 05:00 AM,2022,01,02,05,85.8,167,Unhealthy,77.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 06:00 AM,2022,01,02,06,91.1,169,Unhealthy,97.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 07:00 AM,2022,01,02,07,89.7,169,Unhealthy,88.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 08:00 AM,2022,01,02,08,86.5,167,Unhealthy,81.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 09:00 AM,2022,01,02,09,85.9,167,Unhealthy,85.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 10:00 AM,2022,01,02,10,80.1,164,Unhealthy,71.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 11:00 AM,2022,01,02,11,73.0,160,Unhealthy,65.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 12:00 PM,2022,01,02,12,70.4,159,Unhealthy,67.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 01:00 PM,2022,01,02,13,68.9,158,Unhealthy,67.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 02:00 PM,2022,01,02,14,60.0,153,Unhealthy,52.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 03:00 PM,2022,01,02,15,56.7,152,Unhealthy,52.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 04:00 PM,2022,01,02,16,51.0,139,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 05:00 PM,2022,01,02,17,52.5,143,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 06:00 PM,2022,01,02,18,52.8,144,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 07:00 PM,2022,01,02,19,57.0,152,Unhealthy,62.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 08:00 PM,2022,01,02,20,61.6,154,Unhealthy,67.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 09:00 PM,2022,01,02,21,67.9,157,Unhealthy,78.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 10:00 PM,2022,01,02,22,76.4,162,Unhealthy,85.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-02 11:00 PM,2022,01,02,23,88.2,168,Unhealthy,99.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 12:00 AM,2022,01,03,00,104.1,176,Unhealthy,120.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 01:00 AM,2022,01,03,01,102.5,175,Unhealthy,101.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 02:00 AM,2022,01,03,02,98.7,173,Unhealthy,95.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 03:00 AM,2022,01,03,03,97.9,173,Unhealthy,97.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 04:00 AM,2022,01,03,04,106.9,178,Unhealthy,116.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 05:00 AM,2022,01,03,05,94.9,171,Unhealthy,83.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 06:00 AM,2022,01,03,06,91.2,169,Unhealthy,87.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 07:00 AM,2022,01,03,07,87.1,167,Unhealthy,81.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 08:00 AM,2022,01,03,08,90.1,169,Unhealthy,92.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 09:00 AM,2022,01,03,09,92.9,170,Unhealthy,98.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 10:00 AM,2022,01,03,10,89.7,169,Unhealthy,83.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 11:00 AM,2022,01,03,11,79.7,163,Unhealthy,68.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 12:00 PM,2022,01,03,12,70.3,159,Unhealthy,61.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 01:00 PM,2022,01,03,13,59.7,153,Unhealthy,50.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 02:00 PM,2022,01,03,14,59.8,153,Unhealthy,60.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 03:00 PM,2022,01,03,15,58.9,153,Unhealthy,58.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 04:00 PM,2022,01,03,16,57.5,152,Unhealthy,56.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 05:00 PM,2022,01,03,17,58.7,153,Unhealthy,60.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 06:00 PM,2022,01,03,18,59.8,153,Unhealthy,61.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 07:00 PM,2022,01,03,19,62.8,155,Unhealthy,66.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 08:00 PM,2022,01,03,20,64.3,156,Unhealthy,66.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 09:00 PM,2022,01,03,21,72.5,160,Unhealthy,85.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 10:00 PM,2022,01,03,22,75.2,161,Unhealthy,79.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-03 11:00 PM,2022,01,03,23,76.7,162,Unhealthy,79.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 12:00 AM,2022,01,04,00,78.9,163,Unhealthy,82.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 01:00 AM,2022,01,04,01,78.9,163,Unhealthy,81.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 02:00 AM,2022,01,04,02,75.8,161,Unhealthy,70.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 03:00 AM,2022,01,04,03,76.3,162,Unhealthy,77.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 04:00 AM,2022,01,04,04,77.7,162,Unhealthy,81.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 05:00 AM,2022,01,04,05,83.2,165,Unhealthy,93.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 06:00 AM,2022,01,04,06,84.9,166,Unhealthy,91.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 07:00 AM,2022,01,04,07,86.2,167,Unhealthy,89.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 08:00 AM,2022,01,04,08,87.3,167,Unhealthy,92.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 09:00 AM,2022,01,04,09,89.6,169,Unhealthy,95.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 10:00 AM,2022,01,04,10,88.1,168,Unhealthy,84.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 11:00 AM,2022,01,04,11,79.9,164,Unhealthy,63.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 12:00 PM,2022,01,04,12,77.5,162,Unhealthy,73.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 01:00 PM,2022,01,04,13,72.6,160,Unhealthy,63.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 02:00 PM,2022,01,04,14,62.4,155,Unhealthy,53.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 03:00 PM,2022,01,04,15,60.8,154,Unhealthy,59.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 04:00 PM,2022,01,04,16,59.6,153,Unhealthy,58.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 05:00 PM,2022,01,04,17,63.7,155,Unhealthy,69.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 06:00 PM,2022,01,04,18,65.6,156,Unhealthy,68.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 07:00 PM,2022,01,04,19,69.7,158,Unhealthy,75.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 08:00 PM,2022,01,04,20,72.5,160,Unhealthy,76.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 09:00 PM,2022,01,04,21,74.9,161,Unhealthy,81.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 10:00 PM,2022,01,04,22,77.7,162,Unhealthy,83.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-04 11:00 PM,2022,01,04,23,80.7,164,Unhealthy,85.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-05 12:00 AM,2022,01,05,00,81.5,164,Unhealthy,83.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-05 01:00 AM,2022,01,05,01,80.6,164,Unhealthy,79.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-05 02:00 AM,2022,01,05,02,83.5,165,Unhealthy,89.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-05 03:00 AM,2022,01,05,03,82.6,165,Unhealthy,81.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-05 04:00 AM,2022,01,05,04,81.8,165,Unhealthy,81.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-05 05:00 AM,2022,01,05,05,84.0,166,Unhealthy,90.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-05 06:00 AM,2022,01,05,06,82.7,165,Unhealthy,79.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-05 07:00 AM,2022,01,05,07,82.5,165,Unhealthy,81.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-05 08:00 AM,2022,01,05,08,84.7,166,Unhealthy,94.0,UG/M3,1 Hr,Valid
Hyderabad,PM2.5 - Principal,2022-01-05 09:00 AM,2022,01,05,09,86.3,167,Unhealthy,93.0,UG/M3,1 Hr,Valid
