Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Islamabad,PM2.5 - Principal,2019-06-01 01:00 AM,2019,06,01,01,41.3,115,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 02:00 AM,2019,06,01,02,37.1,105,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 03:00 AM,2019,06,01,03,34.6,98,Moderate,32.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 04:00 AM,2019,06,01,04,58.3,152,Unhealthy,82.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 05:00 AM,2019,06,01,05,49.6,136,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 06:00 AM,2019,06,01,06,43.8,121,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 07:00 AM,2019,06,01,07,38.4,108,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 08:00 AM,2019,06,01,08,30.7,90,Moderate,23.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 09:00 AM,2019,06,01,09,28.8,86,Moderate,27.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 10:00 AM,2019,06,01,10,27.9,84,Moderate,27.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 11:00 AM,2019,06,01,11,23.4,75,Moderate,19.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 12:00 PM,2019,06,01,12,22.2,72,Moderate,21.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 01:00 PM,2019,06,01,13,24.1,76,Moderate,26.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 02:00 PM,2019,06,01,14,25.5,79,Moderate,27.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 03:00 PM,2019,06,01,15,23.7,75,Moderate,22.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 04:00 PM,2019,06,01,16,24.3,77,Moderate,25.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 05:00 PM,2019,06,01,17,21.1,70,Moderate,18.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 06:00 PM,2019,06,01,18,20.7,69,Moderate,20.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 07:00 PM,2019,06,01,19,24.1,76,Moderate,29.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 08:00 PM,2019,06,01,20,41.9,117,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 09:00 PM,2019,06,01,21,47.9,132,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 10:00 PM,2019,06,01,22,44.4,123,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-01 11:00 PM,2019,06,01,23,39.7,111,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 12:00 AM,2019,06,02,00,45.3,125,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 01:00 AM,2019,06,02,01,43.6,121,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 02:00 AM,2019,06,02,02,40.3,113,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 03:00 AM,2019,06,02,03,40.1,112,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 04:00 AM,2019,06,02,04,56.5,152,Unhealthy,73.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 05:00 AM,2019,06,02,05,47.2,130,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 06:00 AM,2019,06,02,06,37.1,105,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 07:00 AM,2019,06,02,07,37.5,106,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 08:00 AM,2019,06,02,08,37.2,105,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 09:00 AM,2019,06,02,09,38.1,107,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 10:00 AM,2019,06,02,10,37.5,106,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 11:00 AM,2019,06,02,11,36.2,103,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 12:00 PM,2019,06,02,12,38.1,107,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 01:00 PM,2019,06,02,13,34.5,98,Moderate,31.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 02:00 PM,2019,06,02,14,33.2,95,Moderate,32.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 03:00 PM,2019,06,02,15,29.6,88,Moderate,26.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 04:00 PM,2019,06,02,16,29.7,88,Moderate,27.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 05:00 PM,2019,06,02,17,28.7,86,Moderate,27.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 06:00 PM,2019,06,02,18,27.7,84,Moderate,26.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 07:00 PM,2019,06,02,19,31.0,91,Moderate,37.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 08:00 PM,2019,06,02,20,49.9,136,Unhealthy for Sensitive Groups,68.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 09:00 PM,2019,06,02,21,42.4,118,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 10:00 PM,2019,06,02,22,34.2,97,Moderate,26.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-02 11:00 PM,2019,06,02,23,43.1,120,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 12:00 AM,2019,06,03,00,31.0,91,Moderate,19.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 01:00 AM,2019,06,03,01,25.0,78,Moderate,19.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 02:00 AM,2019,06,03,02,24.5,77,Moderate,24.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 03:00 AM,2019,06,03,03,23.2,74,Moderate,22.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 04:00 AM,2019,06,03,04,22.6,73,Moderate,22.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 05:00 AM,2019,06,03,05,24.3,77,Moderate,26.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 06:00 AM,2019,06,03,06,21.6,71,Moderate,19.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 07:00 AM,2019,06,03,07,23.8,76,Moderate,26.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 08:00 AM,2019,06,03,08,22.4,73,Moderate,21.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 09:00 AM,2019,06,03,09,23.7,75,Moderate,25.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 10:00 AM,2019,06,03,10,26.3,81,Moderate,29.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 11:00 AM,2019,06,03,11,24.5,77,Moderate,23.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 12:00 PM,2019,06,03,12,24.0,76,Moderate,23.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 01:00 PM,2019,06,03,13,23.6,75,Moderate,23.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 02:00 PM,2019,06,03,14,24.1,76,Moderate,25.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 03:00 PM,2019,06,03,15,31.6,92,Moderate,39.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 04:00 PM,2019,06,03,16,39.8,112,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 05:00 PM,2019,06,03,17,40.9,114,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 06:00 PM,2019,06,03,18,41.4,116,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 07:00 PM,2019,06,03,19,39.7,111,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 08:00 PM,2019,06,03,20,40.8,114,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 09:00 PM,2019,06,03,21,41.4,116,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 10:00 PM,2019,06,03,22,42.2,117,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-03 11:00 PM,2019,06,03,23,44.6,123,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 12:00 AM,2019,06,04,00,41.3,115,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 01:00 AM,2019,06,04,01,34.0,97,Moderate,26.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 02:00 AM,2019,06,04,02,26.3,81,Moderate,19.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 03:00 AM,2019,06,04,03,23.1,74,Moderate,20.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 04:00 AM,2019,06,04,04,27.0,82,Moderate,31.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 05:00 AM,2019,06,04,05,28.0,84,Moderate,29.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 06:00 AM,2019,06,04,06,27.0,82,Moderate,26.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 07:00 AM,2019,06,04,07,26.5,81,Moderate,26.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 08:00 AM,2019,06,04,08,27.7,84,Moderate,29.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 09:00 AM,2019,06,04,09,29.3,87,Moderate,31.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 10:00 AM,2019,06,04,10,27.1,83,Moderate,25.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 11:00 AM,2019,06,04,11,23.0,74,Moderate,19.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 12:00 PM,2019,06,04,12,23.2,74,Moderate,22.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 01:00 PM,2019,06,04,13,21.6,71,Moderate,19.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 02:00 PM,2019,06,04,14,20.9,70,Moderate,20.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 03:00 PM,2019,06,04,15,21.7,71,Moderate,23.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 04:00 PM,2019,06,04,16,23.7,75,Moderate,27.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 05:00 PM,2019,06,04,17,23.8,76,Moderate,24.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 06:00 PM,2019,06,04,18,26.2,81,Moderate,30.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 07:00 PM,2019,06,04,19,27.7,84,Moderate,30.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 08:00 PM,2019,06,04,20,27.0,82,Moderate,26.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 09:00 PM,2019,06,04,21,27.7,84,Moderate,29.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 10:00 PM,2019,06,04,22,25.6,79,Moderate,22.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-04 11:00 PM,2019,06,04,23,25.7,80,Moderate,26.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 12:00 AM,2019,06,05,00,31.1,91,Moderate,37.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 01:00 AM,2019,06,05,01,33.6,96,Moderate,37.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 02:00 AM,2019,06,05,02,35.2,100,Moderate,38.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 03:00 AM,2019,06,05,03,38.1,107,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 04:00 AM,2019,06,05,04,33.4,96,Moderate,28.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 05:00 AM,2019,06,05,05,29.5,88,Moderate,25.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 06:00 AM,2019,06,05,06,23.5,75,Moderate,18.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 07:00 AM,2019,06,05,07,21.7,71,Moderate,20.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 08:00 AM,2019,06,05,08,24.3,77,Moderate,27.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 09:00 AM,2019,06,05,09,25.6,79,Moderate,27.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 10:00 AM,2019,06,05,10,24.3,77,Moderate,23.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 11:00 AM,2019,06,05,11,20.1,68,Moderate,16.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 12:00 PM,2019,06,05,12,18.0,63,Moderate,16.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 01:00 PM,2019,06,05,13,18.0,63,Moderate,18.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 02:00 PM,2019,06,05,14,17.5,62,Moderate,17.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 03:00 PM,2019,06,05,15,15.7,59,Moderate,14.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 04:00 PM,2019,06,05,16,14.3,56,Moderate,13.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 05:00 PM,2019,06,05,17,16.6,60,Moderate,19.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 06:00 PM,2019,06,05,18,20.3,68,Moderate,24.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2019-06-05 07:00 PM,2019,06,05,19,21.1,70,Moderate,22.0,UG/M3,1 Hr,Valid
