Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Islamabad,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,85.6,167,Unhealthy,65.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,71.3,159,Unhealthy,57.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,60.6,154,Unhealthy,50.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,55.3,150,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,49.1,134,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,49.0,134,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,51.0,139,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,85.4,166,Unhealthy,120.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,143.7,197,Unhealthy,202.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,142.3,196,Unhealthy,141.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,94.6,171,Unhealthy,47.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,72.8,160,Unhealthy,51.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,85.4,166,Unhealthy,98.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,115.2,182,Unhealthy,145.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,97.6,173,Unhealthy,80.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,77.8,163,Unhealthy,58.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,67.4,157,Unhealthy,57.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,112.7,181,Unhealthy,158.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,167.3,218,Very Unhealthy,222.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,180.6,231,Very Unhealthy,194.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,176.8,227,Very Unhealthy,173.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,168.9,219,Very Unhealthy,161.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,147.9,199,Unhealthy,127.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,125.4,187,Unhealthy,103.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 01:00 AM,2021,01,02,01,107.2,178,Unhealthy,89.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 02:00 AM,2021,01,02,02,92.1,170,Unhealthy,77.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 03:00 AM,2021,01,02,03,83.5,165,Unhealthy,75.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 04:00 AM,2021,01,02,04,77.7,162,Unhealthy,72.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 05:00 AM,2021,01,02,05,73.3,160,Unhealthy,69.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 06:00 AM,2021,01,02,06,72.6,160,Unhealthy,72.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 07:00 AM,2021,01,02,07,72.8,160,Unhealthy,73.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 08:00 AM,2021,01,02,08,81.8,165,Unhealthy,91.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 09:00 AM,2021,01,02,09,151.9,202,Very Unhealthy,222.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 10:00 AM,2021,01,02,10,215.9,266,Very Unhealthy,280.0,UG/M3,1 Hr,Valid
Islamabad,PM2.5 - Principal,2021-01-02 11:00 AM,2021,01,02,11,145.4,197,Unhealthy,75.0,UG/M3,1 Hr,Valid
