Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Jakarta Central,PM2.5 - Principal,2015-12-21 10:00 PM,2015,12,21,22,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-21 11:00 PM,2015,12,21,23,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 12:00 AM,2015,12,22,00,24.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 01:00 AM,2015,12,22,01,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 02:00 AM,2015,12,22,02,35.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 03:00 AM,2015,12,22,03,28.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 04:00 AM,2015,12,22,04,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 05:00 AM,2015,12,22,05,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 06:00 AM,2015,12,22,06,36.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 07:00 AM,2015,12,22,07,32.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 08:00 AM,2015,12,22,08,31.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 09:00 AM,2015,12,22,09,31.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 10:00 AM,2015,12,22,10,30.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 11:00 AM,2015,12,22,11,21.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 12:00 PM,2015,12,22,12,19.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 01:00 PM,2015,12,22,13,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 02:00 PM,2015,12,22,14,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 03:00 PM,2015,12,22,15,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 04:00 PM,2015,12,22,16,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 05:00 PM,2015,12,22,17,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 06:00 PM,2015,12,22,18,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 07:00 PM,2015,12,22,19,23.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 08:00 PM,2015,12,22,20,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 09:00 PM,2015,12,22,21,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 10:00 PM,2015,12,22,22,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2015-12-22 11:00 PM,2015,12,22,23,19.0,UG/M3,1 Hr,Valid
