Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 01:00 AM, 2016, 10, 01, 01, 33.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 02:00 AM, 2016, 10, 01, 02, 34.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 03:00 AM, 2016, 10, 01, 03, 45.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 04:00 AM, 2016, 10, 01, 04, 42.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 05:00 AM, 2016, 10, 01, 05, 39.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 06:00 AM, 2016, 10, 01, 06, 44.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 07:00 AM, 2016, 10, 01, 07, 43.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 08:00 AM, 2016, 10, 01, 08, 40.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 09:00 AM, 2016, 10, 01, 09, 34.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 10:00 AM, 2016, 10, 01, 10, 13.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 11:00 AM, 2016, 10, 01, 11, 16.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 12:00 PM, 2016, 10, 01, 12, 14.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 01:00 PM, 2016, 10, 01, 13, 16.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 02:00 PM, 2016, 10, 01, 14, 24.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 03:00 PM, 2016, 10, 01, 15, 23.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 04:00 PM, 2016, 10, 01, 16, 17.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 05:00 PM, 2016, 10, 01, 17, 19.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 06:00 PM, 2016, 10, 01, 18, 21.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta Central, PM2.5 - Principal, 2016-10-01 07:00 PM, 2016, 10, 01, 19, 22.0, , , , , , , UG/M3, 1 Hr, Valid]"
