Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta Central,PM2.5 - Principal,2016-03-01 08:00 AM,2016,03,01,08,57,Moderate,14.8,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 09:00 AM,2016,03,01,09,56,Moderate,14.3,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 10:00 AM,2016,03,01,10,55,Moderate,14.0,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 11:00 AM,2016,03,01,11,56,Moderate,14.4,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 12:00 PM,2016,03,01,12,57,Moderate,15.1,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 01:00 PM,2016,03,01,13,60,Moderate,16.6,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 02:00 PM,2016,03,01,14,63,Moderate,17.8,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 03:00 PM,2016,03,01,15,64,Moderate,18.2,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 04:00 PM,2016,03,01,16,64,Moderate,18.2,6.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 05:00 PM,2016,03,01,17,64,Moderate,18.4,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 06:00 PM,2016,03,01,18,66,Moderate,19.0,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 07:00 PM,2016,03,01,19,66,Moderate,19.3,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 08:00 PM,2016,03,01,20,67,Moderate,19.9,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 09:00 PM,2016,03,01,21,68,Moderate,20.3,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 10:00 PM,2016,03,01,22,70,Moderate,21.0,24.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-01 11:00 PM,2016,03,01,23,70,Moderate,21.3,28.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 12:00 AM,2016,03,02,00,71,Moderate,21.8,48.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 01:00 AM,2016,03,02,01,72,Moderate,22.2,35.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 02:00 AM,2016,03,02,02,73,Moderate,22.5,20.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 03:00 AM,2016,03,02,03,74,Moderate,22.8,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 04:00 AM,2016,03,02,04,74,Moderate,23.2,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 05:00 AM,2016,03,02,05,75,Moderate,23.4,34.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 06:00 AM,2016,03,02,06,75,Moderate,23.5,40.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 07:00 AM,2016,03,02,07,75,Moderate,23.5,45.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 08:00 AM,2016,03,02,08,74,Moderate,23.2,36.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 09:00 AM,2016,03,02,09,77,Moderate,24.4,28.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 10:00 AM,2016,03,02,10,80,Moderate,25.7,20.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 11:00 AM,2016,03,02,11,81,Moderate,26.4,21.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 12:00 PM,2016,03,02,12,83,Moderate,27.1,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 01:00 PM,2016,03,02,13,83,Moderate,27.2,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 02:00 PM,2016,03,02,14,84,Moderate,27.6,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 03:00 PM,2016,03,02,15,84,Moderate,27.6,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 04:00 PM,2016,03,02,16,85,Moderate,28.1,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 05:00 PM,2016,03,02,17,84,Moderate,27.7,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 06:00 PM,2016,03,02,18,83,Moderate,27.1,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 07:00 PM,2016,03,02,19,82,Moderate,26.8,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 08:00 PM,2016,03,02,20,82,Moderate,27.0,36.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 09:00 PM,2016,03,02,21,82,Moderate,26.9,47.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 10:00 PM,2016,03,02,22,83,Moderate,27.2,41.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-02 11:00 PM,2016,03,02,23,83,Moderate,27.5,46.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-03 12:00 AM,2016,03,03,00,84,Moderate,27.6,51.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-03 01:00 AM,2016,03,03,01,83,Moderate,27.3,43.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-03 02:00 AM,2016,03,03,02,83,Moderate,27.1,21.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2016-03-03 03:00 AM,2016,03,03,03,82,Moderate,26.7,21.0,UG/M3,1 Hr,Valid
