Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta Central,O3,2023-03-01 01:00 AM,2023,03,01,01,4.0,4,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 02:00 AM,2023,03,01,02,5.0,5,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 03:00 AM,2023,03,01,03,5.0,5,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 04:00 AM,2023,03,01,04,5.0,5,Good,-999.0,PPB,1 Hr,Missing
Jakarta Central,O3,2023-03-01 05:00 AM,2023,03,01,05,1.0,1,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 06:00 AM,2023,03,01,06,1.0,1,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 07:00 AM,2023,03,01,07,5.0,5,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 08:00 AM,2023,03,01,08,6.0,6,Good,6.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 09:00 AM,2023,03,01,09,8.0,7,Good,8.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 10:00 AM,2023,03,01,10,13.0,12,Good,18.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 11:00 AM,2023,03,01,11,15.0,14,Good,17.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 12:00 PM,2023,03,01,12,20.0,19,Good,25.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 01:00 PM,2023,03,01,13,19.0,18,Good,22.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 02:00 PM,2023,03,01,14,19.0,18,Good,14.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 03:00 PM,2023,03,01,15,16.0,15,Good,11.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 04:00 PM,2023,03,01,16,12.0,11,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 05:00 PM,2023,03,01,17,10.0,9,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 06:00 PM,2023,03,01,18,4.0,4,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 07:00 PM,2023,03,01,19,1.0,1,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 08:00 PM,2023,03,01,20,1.0,1,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 09:00 PM,2023,03,01,21,1.0,1,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 10:00 PM,2023,03,01,22,3.0,3,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-01 11:00 PM,2023,03,01,23,5.0,5,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 12:00 AM,2023,03,02,00,5.0,5,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 01:00 AM,2023,03,02,01,3.0,3,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 02:00 AM,2023,03,02,02,4.0,4,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 03:00 AM,2023,03,02,03,6.0,6,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 04:00 AM,2023,03,02,04,4.0,4,Good,-999.0,PPB,1 Hr,Missing
Jakarta Central,O3,2023-03-02 05:00 AM,2023,03,02,05,2.0,2,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 06:00 AM,2023,03,02,06,2.0,2,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 07:00 AM,2023,03,02,07,3.0,3,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 08:00 AM,2023,03,02,08,4.0,4,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 09:00 AM,2023,03,02,09,5.0,5,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 10:00 AM,2023,03,02,10,6.0,6,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 11:00 AM,2023,03,02,11,9.0,8,Good,8.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 12:00 PM,2023,03,02,12,12.0,11,Good,15.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 01:00 PM,2023,03,02,13,14.0,13,Good,22.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 02:00 PM,2023,03,02,14,13.0,12,Good,15.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 03:00 PM,2023,03,02,15,11.0,10,Good,11.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 04:00 PM,2023,03,02,16,12.0,11,Good,14.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 05:00 PM,2023,03,02,17,9.0,8,Good,8.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 06:00 PM,2023,03,02,18,8.0,7,Good,7.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 07:00 PM,2023,03,02,19,7.0,6,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 08:00 PM,2023,03,02,20,7.0,6,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 09:00 PM,2023,03,02,21,5.0,5,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 10:00 PM,2023,03,02,22,4.0,4,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-02 11:00 PM,2023,03,02,23,4.0,4,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 12:00 AM,2023,03,03,00,5.0,5,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 01:00 AM,2023,03,03,01,5.0,5,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 02:00 AM,2023,03,03,02,5.0,5,Good,6.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 03:00 AM,2023,03,03,03,4.0,4,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 04:00 AM,2023,03,03,04,5.0,5,Good,-999.0,PPB,1 Hr,Missing
Jakarta Central,O3,2023-03-03 05:00 AM,2023,03,03,05,3.0,3,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 06:00 AM,2023,03,03,06,4.0,4,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 07:00 AM,2023,03,03,07,4.0,4,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 08:00 AM,2023,03,03,08,6.0,6,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 09:00 AM,2023,03,03,09,11.0,10,Good,11.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 10:00 AM,2023,03,03,10,12.0,11,Good,15.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 11:00 AM,2023,03,03,11,16.0,15,Good,23.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 12:00 PM,2023,03,03,12,19.0,18,Good,25.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 01:00 PM,2023,03,03,13,20.0,19,Good,23.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 02:00 PM,2023,03,03,14,16.0,15,Good,15.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 03:00 PM,2023,03,03,15,13.0,12,Good,11.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 04:00 PM,2023,03,03,16,10.0,9,Good,7.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 05:00 PM,2023,03,03,17,11.0,10,Good,10.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 06:00 PM,2023,03,03,18,7.0,6,Good,9.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 07:00 PM,2023,03,03,19,6.0,6,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 08:00 PM,2023,03,03,20,7.0,6,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 09:00 PM,2023,03,03,21,4.0,4,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 10:00 PM,2023,03,03,22,4.0,4,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-03 11:00 PM,2023,03,03,23,3.0,3,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 12:00 AM,2023,03,04,00,3.0,3,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 01:00 AM,2023,03,04,01,1.0,1,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 02:00 AM,2023,03,04,02,4.0,4,Good,6.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 03:00 AM,2023,03,04,03,3.0,3,Good,6.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 04:00 AM,2023,03,04,04,3.0,3,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 05:00 AM,2023,03,04,05,5.0,5,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 06:00 AM,2023,03,04,06,9.0,8,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 07:00 AM,2023,03,04,07,11.0,10,Good,6.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 08:00 AM,2023,03,04,08,11.0,10,Good,8.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 09:00 AM,2023,03,04,09,12.0,11,Good,11.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 10:00 AM,2023,03,04,10,12.0,11,Good,10.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 11:00 AM,2023,03,04,11,14.0,13,Good,16.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 12:00 PM,2023,03,04,12,15.0,14,Good,25.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 01:00 PM,2023,03,04,13,13.0,12,Good,17.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 02:00 PM,2023,03,04,14,14.0,13,Good,16.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 03:00 PM,2023,03,04,15,14.0,13,Good,13.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 04:00 PM,2023,03,04,16,13.0,12,Good,10.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 05:00 PM,2023,03,04,17,12.0,11,Good,11.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 06:00 PM,2023,03,04,18,12.0,11,Good,13.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 07:00 PM,2023,03,04,19,8.0,7,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 08:00 PM,2023,03,04,20,7.0,6,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 09:00 PM,2023,03,04,21,6.0,6,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 10:00 PM,2023,03,04,22,5.0,5,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-04 11:00 PM,2023,03,04,23,4.0,4,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 12:00 AM,2023,03,05,00,4.0,4,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 01:00 AM,2023,03,05,01,3.0,3,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 02:00 AM,2023,03,05,02,4.0,4,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 03:00 AM,2023,03,05,03,4.0,4,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 04:00 AM,2023,03,05,04,4.0,4,Good,-999.0,PPB,1 Hr,Missing
Jakarta Central,O3,2023-03-05 05:00 AM,2023,03,05,05,5.0,5,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 06:00 AM,2023,03,05,06,5.0,5,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 07:00 AM,2023,03,05,07,6.0,6,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 08:00 AM,2023,03,05,08,8.0,7,Good,8.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 09:00 AM,2023,03,05,09,9.0,8,Good,11.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 10:00 AM,2023,03,05,10,11.0,10,Good,12.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 11:00 AM,2023,03,05,11,12.0,11,Good,12.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 12:00 PM,2023,03,05,12,13.0,12,Good,16.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 01:00 PM,2023,03,05,13,12.0,11,Good,12.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 02:00 PM,2023,03,05,14,15.0,14,Good,21.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 03:00 PM,2023,03,05,15,19.0,18,Good,30.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 04:00 PM,2023,03,05,16,26.0,24,Good,46.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 05:00 PM,2023,03,05,17,24.0,22,Good,36.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 06:00 PM,2023,03,05,18,28.0,26,Good,31.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 07:00 PM,2023,03,05,19,26.0,24,Good,23.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 08:00 PM,2023,03,05,20,20.0,19,Good,10.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 09:00 PM,2023,03,05,21,13.0,12,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 10:00 PM,2023,03,05,22,11.0,10,Good,2.0,PPB,1 Hr,Valid
Jakarta Central,O3,2023-03-05 11:00 PM,2023,03,05,23,9.0,8,Good,3.0,PPB,1 Hr,Valid
