Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta Central,O3,2025-01-01 01:00 AM,2025,01,01,01,6.0,6,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 02:00 AM,2025,01,01,02,5.0,5,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 03:00 AM,2025,01,01,03,4.0,4,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 04:00 AM,2025,01,01,04,4.0,4,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 05:00 AM,2025,01,01,05,4.0,4,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 06:00 AM,2025,01,01,06,5.0,5,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 07:00 AM,2025,01,01,07,7.0,6,Good,6.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 08:00 AM,2025,01,01,08,12.0,11,Good,9.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 09:00 AM,2025,01,01,09,14.0,13,Good,14.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 10:00 AM,2025,01,01,10,15.0,14,Good,18.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 11:00 AM,2025,01,01,11,16.0,15,Good,19.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 12:00 PM,2025,01,01,12,18.0,17,Good,20.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 01:00 PM,2025,01,01,13,21.0,19,Good,22.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 02:00 PM,2025,01,01,14,21.0,19,Good,23.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 03:00 PM,2025,01,01,15,19.0,18,Good,18.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 04:00 PM,2025,01,01,16,16.0,15,Good,18.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 05:00 PM,2025,01,01,17,15.0,14,Good,18.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 06:00 PM,2025,01,01,18,13.0,12,Good,16.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 07:00 PM,2025,01,01,19,9.0,8,Good,8.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 08:00 PM,2025,01,01,20,11.0,10,Good,8.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 09:00 PM,2025,01,01,21,9.0,8,Good,8.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 10:00 PM,2025,01,01,22,9.0,8,Good,6.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-01 11:00 PM,2025,01,01,23,5.0,5,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 12:00 AM,2025,01,02,00,6.0,6,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 01:00 AM,2025,01,02,01,5.0,5,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 02:00 AM,2025,01,02,02,5.0,5,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 03:00 AM,2025,01,02,03,5.0,5,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 04:00 AM,2025,01,02,04,5.0,5,Good,-999.0,PPB,1 Hr,Missing
Jakarta Central,O3,2025-01-02 05:00 AM,2025,01,02,05,7.0,6,Good,7.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 06:00 AM,2025,01,02,06,6.0,6,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 07:00 AM,2025,01,02,07,6.0,6,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 08:00 AM,2025,01,02,08,10.0,9,Good,8.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 09:00 AM,2025,01,02,09,12.0,11,Good,12.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 10:00 AM,2025,01,02,10,16.0,15,Good,20.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 11:00 AM,2025,01,02,11,22.0,20,Good,31.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 12:00 PM,2025,01,02,12,26.0,24,Good,32.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 01:00 PM,2025,01,02,13,27.0,25,Good,32.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 02:00 PM,2025,01,02,14,25.0,23,Good,27.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 03:00 PM,2025,01,02,15,25.0,23,Good,21.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 04:00 PM,2025,01,02,16,22.0,20,Good,22.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 05:00 PM,2025,01,02,17,20.0,19,Good,22.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 06:00 PM,2025,01,02,18,19.0,18,Good,19.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 07:00 PM,2025,01,02,19,14.0,13,Good,9.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 08:00 PM,2025,01,02,20,12.0,11,Good,10.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 09:00 PM,2025,01,02,21,10.0,9,Good,7.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 10:00 PM,2025,01,02,22,7.0,6,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-02 11:00 PM,2025,01,02,23,4.0,4,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-03 12:00 AM,2025,01,03,00,3.0,3,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-03 01:00 AM,2025,01,03,01,3.0,3,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-03 02:00 AM,2025,01,03,02,4.0,4,Good,3.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-03 03:00 AM,2025,01,03,03,5.0,5,Good,5.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-03 04:00 AM,2025,01,03,04,5.0,5,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-03 05:00 AM,2025,01,03,05,4.0,4,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-03 06:00 AM,2025,01,03,06,6.0,6,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-03 07:00 AM,2025,01,03,07,7.0,6,Good,4.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-03 08:00 AM,2025,01,03,08,8.0,7,Good,6.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-03 09:00 AM,2025,01,03,09,12.0,11,Good,16.0,PPB,1 Hr,Valid
Jakarta Central,O3,2025-01-03 10:00 AM,2025,01,03,10,18.0,17,Good,25.0,PPB,1 Hr,Valid
