Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta Central,PM2.5 - Principal,2025-01-01 01:00 AM,2025,01,01,01,34.1,98,Moderate,323.0,UG/M3,1 Hr,Invalid
Jakarta Central,PM2.5 - Principal,2025-01-01 02:00 AM,2025,01,01,02,56.7,152,Unhealthy,68.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 03:00 AM,2025,01,01,03,44.3,123,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 04:00 AM,2025,01,01,04,28.6,87,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 05:00 AM,2025,01,01,05,18.5,69,Moderate,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 06:00 AM,2025,01,01,06,13.6,59,Moderate,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 07:00 AM,2025,01,01,07,12.8,58,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 08:00 AM,2025,01,01,08,11.4,55,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 09:00 AM,2025,01,01,09,9.7,52,Moderate,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 10:00 AM,2025,01,01,10,9.8,52,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 11:00 AM,2025,01,01,11,10.4,53,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 12:00 PM,2025,01,01,12,10.7,54,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 01:00 PM,2025,01,01,13,10.3,53,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 02:00 PM,2025,01,01,14,14.1,60,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 03:00 PM,2025,01,01,15,14.0,60,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 04:00 PM,2025,01,01,16,11.5,55,Moderate,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 05:00 PM,2025,01,01,17,12.2,57,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 06:00 PM,2025,01,01,18,14.6,61,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 07:00 PM,2025,01,01,19,8.8,49,Good,3.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 08:00 PM,2025,01,01,20,9.9,52,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 09:00 PM,2025,01,01,21,8.4,47,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 10:00 PM,2025,01,01,22,7.7,43,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-01 11:00 PM,2025,01,01,23,8.3,46,Good,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 12:00 AM,2025,01,02,00,8.1,45,Good,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 01:00 AM,2025,01,02,01,9.5,52,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 02:00 AM,2025,01,02,02,11.2,55,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 03:00 AM,2025,01,02,03,10.6,54,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 04:00 AM,2025,01,02,04,10.3,53,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 05:00 AM,2025,01,02,05,7.6,42,Good,5.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 06:00 AM,2025,01,02,06,7.8,43,Good,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 07:00 AM,2025,01,02,07,7.4,41,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 08:00 AM,2025,01,02,08,7.7,43,Good,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 09:00 AM,2025,01,02,09,12.8,58,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 10:00 AM,2025,01,02,10,14.4,61,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 11:00 AM,2025,01,02,11,19.7,71,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 12:00 PM,2025,01,02,12,19.8,71,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 01:00 PM,2025,01,02,13,20.9,73,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 02:00 PM,2025,01,02,14,21.9,75,Moderate,23.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 03:00 PM,2025,01,02,15,18.9,69,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 04:00 PM,2025,01,02,16,17.9,67,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 05:00 PM,2025,01,02,17,15.9,64,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 06:00 PM,2025,01,02,18,11.9,56,Moderate,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 07:00 PM,2025,01,02,19,11.4,55,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 08:00 PM,2025,01,02,20,11.7,56,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 09:00 PM,2025,01,02,21,15.3,63,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 10:00 PM,2025,01,02,22,19.1,70,Moderate,23.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-02 11:00 PM,2025,01,02,23,18.5,69,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-03 12:00 AM,2025,01,03,00,19.7,71,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-03 01:00 AM,2025,01,03,01,18.3,68,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-03 02:00 AM,2025,01,03,02,15.1,62,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-03 03:00 AM,2025,01,03,03,13.5,59,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-03 04:00 AM,2025,01,03,04,14.2,61,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-03 05:00 AM,2025,01,03,05,21.1,73,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-03 06:00 AM,2025,01,03,06,32.0,94,Moderate,43.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2025-01-03 07:00 AM,2025,01,03,07,42.0,117,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
