Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
"[Jakarta South, PM2.5 - Principal, 2016-10-01 01:00 AM, 2016, 10, 01, 01, 55.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta South, PM2.5 - Principal, 2016-10-01 02:00 AM, 2016, 10, 01, 02, 58.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta South, PM2.5 - Principal, 2016-10-01 03:00 AM, 2016, 10, 01, 03, 60.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta South, PM2.5 - Principal, 2016-10-01 04:00 AM, 2016, 10, 01, 04, 59.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta South, PM2.5 - Principal, 2016-10-01 05:00 AM, 2016, 10, 01, 05, 52.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta South, PM2.5 - Principal, 2016-10-01 06:00 AM, 2016, 10, 01, 06, 51.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta South, PM2.5 - Principal, 2016-10-01 07:00 AM, 2016, 10, 01, 07, 63.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta South, PM2.5 - Principal, 2016-10-01 08:00 AM, 2016, 10, 01, 08, 51.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta South, PM2.5 - Principal, 2016-10-01 09:00 AM, 2016, 10, 01, 09, 32.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta South, PM2.5 - Principal, 2016-10-01 10:00 AM, 2016, 10, 01, 10, 10.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Jakarta South, PM2.5 - Principal, 2016-10-01 11:00 AM, 2016, 10, 01, 11, 10.0, , , , , , , UG/M3, 1 Hr, Valid]"
