Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2016-01-01 08:00 AM,2016,01,01,08,39.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-01 09:00 AM,2016,01,01,09,43.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-01 10:00 AM,2016,01,01,10,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-01 11:00 AM,2016,01,01,11,26.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-01 12:00 PM,2016,01,01,12,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-01 01:00 PM,2016,01,01,13,19.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-31 02:00 AM,2016,01,31,02,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-31 03:00 AM,2016,01,31,03,45.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-31 04:00 AM,2016,01,31,04,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-31 05:00 AM,2016,01,31,05,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-31 06:00 AM,2016,01,31,06,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-31 07:00 AM,2016,01,31,07,20.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-30 08:00 PM,2016,01,30,20,37.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-30 09:00 PM,2016,01,30,21,43.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-30 10:00 PM,2016,01,30,22,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-30 11:00 PM,2016,01,30,23,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-31 12:00 AM,2016,01,31,00,31.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-31 01:00 AM,2016,01,31,01,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-30 02:00 PM,2016,01,30,14,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-30 03:00 PM,2016,01,30,15,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-30 04:00 PM,2016,01,30,16,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-30 05:00 PM,2016,01,30,17,42.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-30 06:00 PM,2016,01,30,18,59.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-30 07:00 PM,2016,01,30,19,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-30 08:00 AM,2016,01,30,08,39.0,UG/M3,1 Hr,Valid
