Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2016-07-01 08:00 AM,2016,07,01,08,132,Unhealthy for Sensitive Groups,48.0,48.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 09:00 AM,2016,07,01,09,132,Unhealthy for Sensitive Groups,47.9,49.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 10:00 AM,2016,07,01,10,131,Unhealthy for Sensitive Groups,47.8,39.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 11:00 AM,2016,07,01,11,134,Unhealthy for Sensitive Groups,48.9,48.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 12:00 PM,2016,07,01,12,136,Unhealthy for Sensitive Groups,49.6,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 01:00 PM,2016,07,01,13,135,Unhealthy for Sensitive Groups,49.5,43.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 02:00 PM,2016,07,01,14,137,Unhealthy for Sensitive Groups,50.0,59.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 03:00 PM,2016,07,01,15,137,Unhealthy for Sensitive Groups,50.2,36.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 04:00 PM,2016,07,01,16,140,Unhealthy for Sensitive Groups,51.2,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 05:00 PM,2016,07,01,17,145,Unhealthy for Sensitive Groups,53.4,59.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 06:00 PM,2016,07,01,18,151,Unhealthy,56.0,26.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 07:00 PM,2016,07,01,19,153,Unhealthy,58.9,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 08:00 PM,2016,07,01,20,153,Unhealthy,60.3,42.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 09:00 PM,2016,07,01,21,154,Unhealthy,61.0,50.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-07-01 10:00 PM,2016,07,01,22,154,Unhealthy,61.7,75.0,UG/M3,1 Hr,Valid
