Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2018-01-01 01:00 AM,2018,01,01,01,76.5,162,Unhealthy,97.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 02:00 AM,2018,01,01,02,79.2,163,Unhealthy,82.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 03:00 AM,2018,01,01,03,58.1,152,Unhealthy,37.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 04:00 AM,2018,01,01,04,38.5,108,Unhealthy for Sensitive Groups,19.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 05:00 AM,2018,01,01,05,20.7,69,Moderate,3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 06:00 AM,2018,01,01,06,14.8,57,Moderate,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 07:00 AM,2018,01,01,07,14.4,56,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 08:00 AM,2018,01,01,08,14.7,56,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 09:00 AM,2018,01,01,09,10.8,45,Good,7.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 10:00 AM,2018,01,01,10,8.4,35,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 11:00 AM,2018,01,01,11,5.7,24,Good,3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 12:00 PM,2018,01,01,12,1.3,5,Good,-3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 01:00 PM,2018,01,01,13,-1.3,-999,N/A,-4.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 02:00 PM,2018,01,01,14,-1.3,-999,N/A,-5.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-01 03:00 PM,2018,01,01,15,-999.0,-999,N/A,-8.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-01 04:00 PM,2018,01,01,16,-999.0,-999,N/A,-7.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-01 05:00 PM,2018,01,01,17,-999.0,-999,N/A,-5.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-01 06:00 PM,2018,01,01,18,-999.0,-999,N/A,2.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 07:00 PM,2018,01,01,19,3.8,16,Good,5.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 08:00 PM,2018,01,01,20,3.3,14,Good,3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 09:00 PM,2018,01,01,21,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-01 10:00 PM,2018,01,01,22,0.0,0,Good,-7.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-01 11:00 PM,2018,01,01,23,-999.0,-999,N/A,-7.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 12:00 AM,2018,01,02,00,-999.0,-999,N/A,-8.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 01:00 AM,2018,01,02,01,-999.0,-999,N/A,-5.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 02:00 AM,2018,01,02,02,-999.0,-999,N/A,-8.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 03:00 AM,2018,01,02,03,-999.0,-999,N/A,-11.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 04:00 AM,2018,01,02,04,-999.0,-999,N/A,-8.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 05:00 AM,2018,01,02,05,-999.0,-999,N/A,-6.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 06:00 AM,2018,01,02,06,-999.0,-999,N/A,-3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-02 07:00 AM,2018,01,02,07,4.3,18,Good,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-02 08:00 AM,2018,01,02,08,6.9,29,Good,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-02 09:00 AM,2018,01,02,09,7.0,29,Good,-999.0,UG/M3,1 Hr,Missing
Jakarta South,PM2.5 - Principal,2018-01-02 10:00 AM,2018,01,02,10,-999.0,-999,N/A,-12.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 11:00 AM,2018,01,02,11,-999.0,-999,N/A,-11.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 12:00 PM,2018,01,02,12,-999.0,-999,N/A,-10.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 01:00 PM,2018,01,02,13,-999.0,-999,N/A,-11.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 02:00 PM,2018,01,02,14,-999.0,-999,N/A,-13.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 03:00 PM,2018,01,02,15,-999.0,-999,N/A,-10.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 04:00 PM,2018,01,02,16,-999.0,-999,N/A,-8.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2018-01-02 05:00 PM,2018,01,02,17,-999.0,-999,N/A,-1.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-02 06:00 PM,2018,01,02,18,0.3,1,Good,1.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-02 07:00 PM,2018,01,02,19,7.0,29,Good,12.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-02 08:00 PM,2018,01,02,20,8.6,36,Good,10.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-02 09:00 PM,2018,01,02,21,13.9,55,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-02 10:00 PM,2018,01,02,22,17.5,62,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-02 11:00 PM,2018,01,02,23,16.7,61,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 12:00 AM,2018,01,03,00,16.3,60,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 01:00 AM,2018,01,03,01,12.1,51,Moderate,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 02:00 AM,2018,01,03,02,13.5,54,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 03:00 AM,2018,01,03,03,16.2,60,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 04:00 AM,2018,01,03,04,31.1,91,Moderate,46.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 05:00 AM,2018,01,03,05,29.0,87,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 06:00 AM,2018,01,03,06,29.5,88,Moderate,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 07:00 AM,2018,01,03,07,38.7,109,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 08:00 AM,2018,01,03,08,36.3,103,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 09:00 AM,2018,01,03,09,34.6,98,Moderate,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 10:00 AM,2018,01,03,10,33.3,96,Moderate,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 11:00 AM,2018,01,03,11,27.1,83,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 12:00 PM,2018,01,03,12,27.0,82,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 01:00 PM,2018,01,03,13,29.5,88,Moderate,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 02:00 PM,2018,01,03,14,28.7,86,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 03:00 PM,2018,01,03,15,19.3,66,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 04:00 PM,2018,01,03,16,11.1,46,Good,3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 05:00 PM,2018,01,03,17,5.0,21,Good,-1.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 06:00 PM,2018,01,03,18,6.0,25,Good,7.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 07:00 PM,2018,01,03,19,7.5,31,Good,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 08:00 PM,2018,01,03,20,8.2,34,Good,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 09:00 PM,2018,01,03,21,9.6,40,Good,11.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 10:00 PM,2018,01,03,22,10.3,43,Good,11.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-03 11:00 PM,2018,01,03,23,9.1,38,Good,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-04 12:00 AM,2018,01,04,00,12.5,52,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-04 01:00 AM,2018,01,04,01,10.7,45,Good,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-04 02:00 AM,2018,01,04,02,10.3,43,Good,10.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-04 03:00 AM,2018,01,04,03,21.1,70,Moderate,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-04 04:00 AM,2018,01,04,04,19.1,66,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-04 05:00 AM,2018,01,04,05,15.5,58,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2018-01-04 06:00 AM,2018,01,04,06,9.7,40,Good,4.0,UG/M3,1 Hr,Valid
