Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2025-01-01 01:00 AM,2025,01,01,01,50.7,138,Unhealthy for Sensitive Groups,64.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 02:00 AM,2025,01,01,02,37.3,105,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 03:00 AM,2025,01,01,03,29.1,88,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 04:00 AM,2025,01,01,04,19.0,69,Moderate,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 05:00 AM,2025,01,01,05,12.5,57,Moderate,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 06:00 AM,2025,01,01,06,7.7,43,Good,3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 07:00 AM,2025,01,01,07,6.8,38,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 08:00 AM,2025,01,01,08,6.4,36,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 09:00 AM,2025,01,01,09,4.2,23,Good,2.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 10:00 AM,2025,01,01,10,3.1,17,Good,2.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 11:00 AM,2025,01,01,11,9.5,52,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 12:00 PM,2025,01,01,12,7.2,40,Good,5.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 01:00 PM,2025,01,01,13,7.1,39,Good,7.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 02:00 PM,2025,01,01,14,7.0,39,Good,7.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 03:00 PM,2025,01,01,15,8.5,47,Good,10.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 04:00 PM,2025,01,01,16,8.7,48,Good,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 05:00 PM,2025,01,01,17,12.8,58,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 06:00 PM,2025,01,01,18,11.9,56,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 07:00 PM,2025,01,01,19,12.4,57,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 08:00 PM,2025,01,01,20,10.2,53,Moderate,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 09:00 PM,2025,01,01,21,7.6,42,Good,5.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 10:00 PM,2025,01,01,22,6.8,38,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-01 11:00 PM,2025,01,01,23,7.9,44,Good,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 12:00 AM,2025,01,02,00,6.9,38,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 01:00 AM,2025,01,02,01,5.4,30,Good,4.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 02:00 AM,2025,01,02,02,6.2,34,Good,7.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 03:00 AM,2025,01,02,03,5.6,31,Good,5.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 04:00 AM,2025,01,02,04,6.8,38,Good,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 05:00 AM,2025,01,02,05,7.9,44,Good,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 06:00 AM,2025,01,02,06,6.9,38,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 07:00 AM,2025,01,02,07,8.9,49,Good,11.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 08:00 AM,2025,01,02,08,13.4,59,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 09:00 AM,2025,01,02,09,16.7,65,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 10:00 AM,2025,01,02,10,9.8,52,Moderate,3.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 11:00 AM,2025,01,02,11,9.9,52,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 12:00 PM,2025,01,02,12,15.4,63,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2025-01-02 01:00 PM,2025,01,02,13,17.2,66,Moderate,19.0,UG/M3,1 Hr,Valid
