Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jeddah,PM2.5 - Principal,2025-03-01 01:00 AM,2025,03,01,01,18.9,69,Moderate,22.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 02:00 AM,2025,03,01,02,19.4,70,Moderate,20.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 03:00 AM,2025,03,01,03,18.2,68,Moderate,17.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 04:00 AM,2025,03,01,04,18.1,68,Moderate,18.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 05:00 AM,2025,03,01,05,21.0,73,Moderate,24.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 06:00 AM,2025,03,01,06,18.0,68,Moderate,15.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 07:00 AM,2025,03,01,07,18.5,69,Moderate,19.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 08:00 AM,2025,03,01,08,18.7,69,Moderate,19.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 09:00 AM,2025,03,01,09,19.6,71,Moderate,21.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 10:00 AM,2025,03,01,10,17.3,66,Moderate,14.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 11:00 AM,2025,03,01,11,14.4,61,Moderate,12.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 12:00 PM,2025,03,01,12,13.2,59,Moderate,12.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 01:00 PM,2025,03,01,13,10.6,54,Moderate,8.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 02:00 PM,2025,03,01,14,9.8,52,Moderate,9.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 03:00 PM,2025,03,01,15,8.4,47,Good,7.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 04:00 PM,2025,03,01,16,7.1,39,Good,6.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 05:00 PM,2025,03,01,17,6.0,33,Good,5.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 06:00 PM,2025,03,01,18,5.5,31,Good,5.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 07:00 PM,2025,03,01,19,5.2,29,Good,5.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 08:00 PM,2025,03,01,20,6.6,37,Good,8.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 09:00 PM,2025,03,01,21,7.3,41,Good,8.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 10:00 PM,2025,03,01,22,8.1,45,Good,9.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-01 11:00 PM,2025,03,01,23,7.5,42,Good,7.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 12:00 AM,2025,03,02,00,7.3,41,Good,7.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 01:00 AM,2025,03,02,01,6.7,37,Good,6.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 02:00 AM,2025,03,02,02,9.8,52,Moderate,13.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 03:00 AM,2025,03,02,03,10.9,54,Moderate,12.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 04:00 AM,2025,03,02,04,11.9,56,Moderate,13.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 05:00 AM,2025,03,02,05,10.4,53,Moderate,9.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 06:00 AM,2025,03,02,06,12.2,57,Moderate,14.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 07:00 AM,2025,03,02,07,12.1,57,Moderate,12.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 08:00 AM,2025,03,02,08,17.5,67,Moderate,23.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 09:00 AM,2025,03,02,09,20.7,73,Moderate,24.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 10:00 AM,2025,03,02,10,25.3,81,Moderate,30.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 11:00 AM,2025,03,02,11,56.7,152,Unhealthy,88.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 12:00 PM,2025,03,02,12,54.3,147,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 01:00 PM,2025,03,02,13,43.6,121,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 02:00 PM,2025,03,02,14,31.3,92,Moderate,19.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 03:00 PM,2025,03,02,15,23.6,78,Moderate,16.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 04:00 PM,2025,03,02,16,20.3,72,Moderate,17.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 05:00 PM,2025,03,02,17,17.1,66,Moderate,14.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 06:00 PM,2025,03,02,18,15.0,62,Moderate,13.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 07:00 PM,2025,03,02,19,15.0,62,Moderate,15.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 08:00 PM,2025,03,02,20,13.0,58,Moderate,11.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 09:00 PM,2025,03,02,21,12.5,57,Moderate,12.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 10:00 PM,2025,03,02,22,10.2,53,Moderate,8.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-02 11:00 PM,2025,03,02,23,11.6,56,Moderate,13.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-03 12:00 AM,2025,03,03,00,15.8,63,Moderate,20.0,UG/M3,1 Hr,Valid
Jeddah,PM2.5 - Principal,2025-03-03 01:00 AM,2025,03,03,01,28.4,87,Moderate,41.0,UG/M3,1 Hr,Valid
