Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kabul,PM2.5 - Principal,2019-03-05 04:00 PM,2019,03,05,16,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 10:00 AM,2019,03,06,10,-999.0,-999,N/A,3.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 12:00 PM,2019,03,06,12,7.0,29,Good,8.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 01:00 PM,2019,03,06,13,11.9,50,Good,15.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 02:00 PM,2019,03,06,14,12.5,52,Moderate,13.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 03:00 PM,2019,03,06,15,10.6,44,Good,9.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 04:00 PM,2019,03,06,16,9.3,39,Good,8.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 05:00 PM,2019,03,06,17,7.6,32,Good,6.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 06:00 PM,2019,03,06,18,6.8,28,Good,6.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 07:00 PM,2019,03,06,19,5.9,25,Good,5.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 08:00 PM,2019,03,06,20,5.9,25,Good,6.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 09:00 PM,2019,03,06,21,5.4,23,Good,5.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 10:00 PM,2019,03,06,22,3.7,15,Good,2.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-06 11:00 PM,2019,03,06,23,1.8,8,Good,0.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-07 12:00 AM,2019,03,07,00,1.9,8,Good,2.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-07 01:00 AM,2019,03,07,01,1.4,6,Good,1.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-07 02:00 AM,2019,03,07,02,-0.7,-999,N/A,-3.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-07 03:00 AM,2019,03,07,03,-1.3,-999,N/A,-2.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-07 04:00 AM,2019,03,07,04,-0.6,-999,N/A,0.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-07 05:00 AM,2019,03,07,05,-0.3,-999,N/A,0.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-07 06:00 AM,2019,03,07,06,-0.1,-999,N/A,0.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2019-03-07 07:00 AM,2019,03,07,07,-0.5,-999,N/A,-1.0,UG/M3,1 Hr,Valid
