Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kabul,PM2.5 - Principal,2021-06-01 02:00 AM,2021,06,01,02,29.4,87,Moderate,37.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 03:00 AM,2021,06,01,03,28.2,85,Moderate,27.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 04:00 AM,2021,06,01,04,34.6,98,Moderate,41.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 05:00 AM,2021,06,01,05,35.8,102,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 06:00 AM,2021,06,01,06,45.4,125,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 07:00 AM,2021,06,01,07,42.7,119,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 08:00 AM,2021,06,01,08,32.3,93,Moderate,22.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 09:00 AM,2021,06,01,09,25.6,79,Moderate,19.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 10:00 AM,2021,06,01,10,24.3,77,Moderate,23.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 11:00 AM,2021,06,01,11,28.6,86,Moderate,33.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 12:00 PM,2021,06,01,12,29.8,88,Moderate,31.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 01:00 PM,2021,06,01,13,24.9,78,Moderate,20.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 02:00 PM,2021,06,01,14,18.9,65,Moderate,13.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 03:00 PM,2021,06,01,15,19.4,66,Moderate,20.0,UG/M3,1 Hr,Valid
Kabul,PM2.5 - Principal,2021-06-01 04:00 PM,2021,06,01,16,18.2,64,Moderate,17.0,UG/M3,1 Hr,Valid
