Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Karachi,PM2.5 - Principal,2019-05-14 05:00 AM,2019,05,14,05,-999.0,-999,N/A,-11.7,UG/M3,1 Hr,Invalid
Karachi,PM2.5 - Principal,2019-05-14 06:00 AM,2019,05,14,06,-999.0,-999,N/A,-4.8,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 07:00 AM,2019,05,14,07,-999.0,-999,N/A,-0.9,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 08:00 AM,2019,05,14,08,-999.0,-999,N/A,-0.9,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 09:00 AM,2019,05,14,09,-999.0,-999,N/A,0.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 10:00 AM,2019,05,14,10,0.1,0,Good,1.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 11:00 AM,2019,05,14,11,0.6,3,Good,1.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 12:00 PM,2019,05,14,12,1.3,5,Good,2.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 01:00 PM,2019,05,14,13,2.6,11,Good,3.9,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 02:00 PM,2019,05,14,14,2.8,12,Good,2.9,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 03:00 PM,2019,05,14,15,1.9,8,Good,1.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 04:00 PM,2019,05,14,16,0.9,4,Good,0.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 05:00 PM,2019,05,14,17,0.4,2,Good,0.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 06:00 PM,2019,05,14,18,-0.1,-999,N/A,-0.8,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 07:00 PM,2019,05,14,19,0.4,2,Good,1.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 08:00 PM,2019,05,14,20,1.2,5,Good,1.9,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 09:00 PM,2019,05,14,21,1.1,5,Good,1.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2019-05-14 10:00 PM,2019,05,14,22,0.0,0,Good,-0.9,UG/M3,1 Hr,Valid
