Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kathmandu,O3,2017-03-01 01:00 AM,2017,03,01,01,31.0,29,Good,27.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 02:00 AM,2017,03,01,02,22.0,20,Good,18.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 03:00 AM,2017,03,01,03,24.0,22,Good,24.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 04:00 AM,2017,03,01,04,20.0,19,Good,18.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 05:00 AM,2017,03,01,05,17.0,16,Good,15.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 06:00 AM,2017,03,01,06,13.0,12,Good,12.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 07:00 AM,2017,03,01,07,3.0,3,Good,2.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 08:00 AM,2017,03,01,08,4.0,4,Good,4.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 09:00 AM,2017,03,01,09,17.0,16,Good,18.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 10:00 AM,2017,03,01,10,48.0,44,Good,49.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 11:00 AM,2017,03,01,11,74.0,112,Unhealthy for Sensitive Groups,75.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 12:00 PM,2017,03,01,12,86.0,151,Unhealthy,87.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 01:00 PM,2017,03,01,13,76.0,119,Unhealthy for Sensitive Groups,76.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 02:00 PM,2017,03,01,14,61.0,71,Moderate,60.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 03:00 PM,2017,03,01,15,59.0,64,Moderate,59.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 04:00 PM,2017,03,01,16,61.0,71,Moderate,61.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 05:00 PM,2017,03,01,17,59.0,64,Moderate,53.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 06:00 PM,2017,03,01,18,51.0,47,Good,44.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 07:00 PM,2017,03,01,19,46.0,43,Good,42.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 08:00 PM,2017,03,01,20,48.0,44,Good,50.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 09:00 PM,2017,03,01,21,48.0,44,Good,44.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 10:00 PM,2017,03,01,22,48.0,44,Good,48.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-01 11:00 PM,2017,03,01,23,36.0,33,Good,27.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 12:00 AM,2017,03,02,00,33.0,31,Good,29.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 01:00 AM,2017,03,02,01,26.0,24,Good,21.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 02:00 AM,2017,03,02,02,19.0,18,Good,16.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 03:00 AM,2017,03,02,03,20.0,19,Good,20.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 04:00 AM,2017,03,02,04,16.0,15,Good,15.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 05:00 AM,2017,03,02,05,11.0,10,Good,10.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 06:00 AM,2017,03,02,06,8.0,7,Good,7.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 07:00 AM,2017,03,02,07,2.0,2,Good,2.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 08:00 AM,2017,03,02,08,6.0,6,Good,7.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 09:00 AM,2017,03,02,09,21.0,19,Good,22.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 10:00 AM,2017,03,02,10,57.0,58,Moderate,58.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 11:00 AM,2017,03,02,11,77.0,122,Unhealthy for Sensitive Groups,78.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 12:00 PM,2017,03,02,12,51.0,47,Good,51.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 01:00 PM,2017,03,02,13,51.0,47,Good,51.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 02:00 PM,2017,03,02,14,53.0,49,Good,53.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 03:00 PM,2017,03,02,15,55.0,51,Moderate,56.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 04:00 PM,2017,03,02,16,51.0,47,Good,49.0,PPB,1 Hr,Valid
Kathmandu,O3,2017-03-02 05:00 PM,2017,03,02,17,42.0,39,Good,35.0,PPB,1 Hr,Valid
