Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Khartoum Embassy,PM2.5 - Principal,2021-05-01 02:00 AM,2021,05,01,02,168.1,218,Very Unhealthy,199.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 03:00 AM,2021,05,01,03,126.0,187,Unhealthy,84.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 04:00 AM,2021,05,01,04,120.0,184,Unhealthy,114.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 05:00 AM,2021,05,01,05,87.0,167,Unhealthy,54.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 06:00 AM,2021,05,01,06,62.5,155,Unhealthy,38.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 07:00 AM,2021,05,01,07,56.2,151,Unhealthy,50.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 08:00 AM,2021,05,01,08,52.6,143,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 09:00 AM,2021,05,01,09,47.3,130,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 10:00 AM,2021,05,01,10,35.6,101,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 11:00 AM,2021,05,01,11,28.8,86,Moderate,22.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 12:00 PM,2021,05,01,12,21.3,70,Moderate,14.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 01:00 PM,2021,05,01,13,93.6,171,Unhealthy,166.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 02:00 PM,2021,05,01,14,80.8,164,Unhealthy,68.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 03:00 PM,2021,05,01,15,54.9,149,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 04:00 PM,2021,05,01,16,39.4,111,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 05:00 PM,2021,05,01,17,44.7,124,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 06:00 PM,2021,05,01,18,34.3,98,Moderate,24.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 07:00 PM,2021,05,01,19,27.6,84,Moderate,21.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 08:00 PM,2021,05,01,20,26.8,82,Moderate,26.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 09:00 PM,2021,05,01,21,21.4,71,Moderate,16.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 10:00 PM,2021,05,01,22,18.2,64,Moderate,15.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-01 11:00 PM,2021,05,01,23,19.1,66,Moderate,20.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 12:00 AM,2021,05,02,00,18.5,64,Moderate,18.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 01:00 AM,2021,05,02,01,25.7,80,Moderate,33.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 02:00 AM,2021,05,02,02,36.3,103,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 03:00 AM,2021,05,02,03,32.6,94,Moderate,29.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 04:00 AM,2021,05,02,04,285.4,336,Hazardous,538.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 05:00 AM,2021,05,02,05,287.2,337,Hazardous,289.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 06:00 AM,2021,05,02,06,241.6,291,Very Unhealthy,196.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 07:00 AM,2021,05,02,07,185.3,235,Very Unhealthy,129.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 08:00 AM,2021,05,02,08,169.1,219,Very Unhealthy,153.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 09:00 AM,2021,05,02,09,153.6,204,Very Unhealthy,138.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 10:00 AM,2021,05,02,10,119.3,184,Unhealthy,85.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 11:00 AM,2021,05,02,11,107.6,178,Unhealthy,96.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 12:00 PM,2021,05,02,12,96.8,172,Unhealthy,86.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 01:00 PM,2021,05,02,13,61.4,154,Unhealthy,26.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 02:00 PM,2021,05,02,14,42.7,119,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 03:00 PM,2021,05,02,15,36.8,104,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 04:00 PM,2021,05,02,16,32.8,95,Moderate,29.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 05:00 PM,2021,05,02,17,31.4,92,Moderate,30.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 06:00 PM,2021,05,02,18,30.1,89,Moderate,29.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 07:00 PM,2021,05,02,19,35.0,99,Moderate,40.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 08:00 PM,2021,05,02,20,71.5,159,Unhealthy,108.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 09:00 PM,2021,05,02,21,62.2,154,Unhealthy,53.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 10:00 PM,2021,05,02,22,92.1,170,Unhealthy,122.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-02 11:00 PM,2021,05,02,23,58.0,152,Unhealthy,24.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 12:00 AM,2021,05,03,00,41.0,115,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 01:00 AM,2021,05,03,01,53.0,144,Unhealthy for Sensitive Groups,65.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 02:00 AM,2021,05,03,02,68.5,158,Unhealthy,84.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 03:00 AM,2021,05,03,03,107.2,178,Unhealthy,146.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 04:00 AM,2021,05,03,04,67.6,157,Unhealthy,28.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 05:00 AM,2021,05,03,05,41.8,117,Unhealthy for Sensitive Groups,16.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 06:00 AM,2021,05,03,06,29.9,88,Moderate,18.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 07:00 AM,2021,05,03,07,24.4,77,Moderate,19.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 08:00 AM,2021,05,03,08,19.2,66,Moderate,14.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 09:00 AM,2021,05,03,09,17.6,63,Moderate,16.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 10:00 AM,2021,05,03,10,15.7,59,Moderate,14.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 11:00 AM,2021,05,03,11,13.8,55,Moderate,12.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 12:00 PM,2021,05,03,12,17.4,62,Moderate,21.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 01:00 PM,2021,05,03,13,16.7,61,Moderate,16.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 02:00 PM,2021,05,03,14,15.3,58,Moderate,14.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 03:00 PM,2021,05,03,15,13.1,53,Moderate,11.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 04:00 PM,2021,05,03,16,11.5,48,Good,10.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 05:00 PM,2021,05,03,17,11.7,49,Good,12.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 06:00 PM,2021,05,03,18,14.3,56,Moderate,17.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 07:00 PM,2021,05,03,19,16.6,60,Moderate,19.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 08:00 PM,2021,05,03,20,15.8,59,Moderate,15.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 09:00 PM,2021,05,03,21,16.4,60,Moderate,17.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 10:00 PM,2021,05,03,22,18.2,64,Moderate,20.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-03 11:00 PM,2021,05,03,23,24.6,77,Moderate,31.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-04 12:00 AM,2021,05,04,00,24.8,78,Moderate,25.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-04 01:00 AM,2021,05,04,01,24.4,77,Moderate,24.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-04 02:00 AM,2021,05,04,02,38.2,108,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-04 03:00 AM,2021,05,04,03,47.1,130,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2021-05-04 04:00 AM,2021,05,04,04,49.5,135,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
