Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Khartoum Embassy,PM2.5 - Principal,2023-01-01 01:00 AM,2023,01,01,01,27.5,83,Moderate,29.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 02:00 AM,2023,01,01,02,23.2,74,Moderate,19.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 03:00 AM,2023,01,01,03,27.6,84,Moderate,32.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 04:00 AM,2023,01,01,04,23.3,75,Moderate,19.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 05:00 AM,2023,01,01,05,21.6,71,Moderate,20.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 06:00 AM,2023,01,01,06,18.8,65,Moderate,16.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 07:00 AM,2023,01,01,07,20.4,68,Moderate,22.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 08:00 AM,2023,01,01,08,19.6,67,Moderate,19.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 09:00 AM,2023,01,01,09,21.8,71,Moderate,24.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 10:00 AM,2023,01,01,10,24.4,77,Moderate,27.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 11:00 AM,2023,01,01,11,24.2,76,Moderate,24.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 12:00 PM,2023,01,01,12,20.6,69,Moderate,17.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 01:00 PM,2023,01,01,13,15.8,59,Moderate,11.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 02:00 PM,2023,01,01,14,11.3,47,Good,7.0,UG/M3,1 Hr,Valid
Khartoum Embassy,PM2.5 - Principal,2023-01-01 03:00 PM,2023,01,01,15,11.6,48,Good,12.0,UG/M3,1 Hr,Valid
