Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Khartoum Residential,PM2.5 - Principal,2020-08-30 04:00 PM,2020,08,30,16,-999.0,-999,N/A,21.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-30 05:00 PM,2020,08,30,17,19.3,66,Moderate,18.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-30 06:00 PM,2020,08,30,18,19.3,66,Moderate,-999.0,UG/M3,1 Hr,Missing
Khartoum Residential,PM2.5 - Principal,2020-08-30 07:00 PM,2020,08,30,19,21.0,70,Moderate,23.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-30 08:00 PM,2020,08,30,20,20.2,68,Moderate,19.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-30 09:00 PM,2020,08,30,21,16.6,60,Moderate,13.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-30 10:00 PM,2020,08,30,22,14.2,55,Moderate,12.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-30 11:00 PM,2020,08,30,23,14.1,55,Moderate,14.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 12:00 AM,2020,08,31,00,13.0,53,Moderate,12.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 01:00 AM,2020,08,31,01,11.9,50,Good,11.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 02:00 AM,2020,08,31,02,9.4,39,Good,7.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 03:00 AM,2020,08,31,03,9.4,39,Good,-999.0,UG/M3,1 Hr,Missing
Khartoum Residential,PM2.5 - Principal,2020-08-31 04:00 AM,2020,08,31,04,8.4,35,Good,8.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 05:00 AM,2020,08,31,05,7.0,29,Good,6.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 06:00 AM,2020,08,31,06,8.0,33,Good,9.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 07:00 AM,2020,08,31,07,8.5,35,Good,9.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 08:00 AM,2020,08,31,08,9.2,38,Good,10.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 09:00 AM,2020,08,31,09,12.6,52,Moderate,16.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 10:00 AM,2020,08,31,10,12.3,51,Moderate,12.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 11:00 AM,2020,08,31,11,12.3,51,Moderate,-999.0,UG/M3,1 Hr,Missing
Khartoum Residential,PM2.5 - Principal,2020-08-31 12:00 PM,2020,08,31,12,11.4,48,Good,11.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 01:00 PM,2020,08,31,13,19.1,66,Moderate,25.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 02:00 PM,2020,08,31,14,18.5,64,Moderate,18.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 03:00 PM,2020,08,31,15,15.1,57,Moderate,12.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 04:00 PM,2020,08,31,16,12.5,52,Moderate,10.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 05:00 PM,2020,08,31,17,9.7,40,Good,7.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 06:00 PM,2020,08,31,18,10.8,45,Good,12.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 07:00 PM,2020,08,31,19,10.8,45,Good,-999.0,UG/M3,1 Hr,Missing
Khartoum Residential,PM2.5 - Principal,2020-08-31 08:00 PM,2020,08,31,20,18.3,64,Moderate,22.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 09:00 PM,2020,08,31,21,24.9,78,Moderate,30.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 10:00 PM,2020,08,31,22,27.6,84,Moderate,30.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-08-31 11:00 PM,2020,08,31,23,25.2,79,Moderate,23.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2020-09-01 12:00 AM,2020,09,01,00,25.2,79,Moderate,-999.0,UG/M3,1 Hr,Missing
Khartoum Residential,PM2.5 - Principal,2020-09-01 01:00 AM,2020,09,01,01,15.6,58,Moderate,11.0,UG/M3,1 Hr,Valid
