Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kigali,PM2.5 - Principal,2022-02-14 01:00 PM,2022,02,14,13,-999.0,-999,N/A,28.9,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-14 02:00 PM,2022,02,14,14,29.7,88,Moderate,30.4,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-14 03:00 PM,2022,02,14,15,29.3,87,Moderate,28.7,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-14 04:00 PM,2022,02,14,16,29.9,88,Moderate,31.4,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-14 05:00 PM,2022,02,14,17,30.8,90,Moderate,33.2,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-14 06:00 PM,2022,02,14,18,31.3,91,Moderate,33.0,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-14 07:00 PM,2022,02,14,19,33.3,96,Moderate,37.6,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-14 08:00 PM,2022,02,14,20,32.5,94,Moderate,30.6,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-14 09:00 PM,2022,02,14,21,35.2,100,Moderate,40.7,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-14 10:00 PM,2022,02,14,22,45.6,126,Unhealthy for Sensitive Groups,55.3,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-14 11:00 PM,2022,02,14,23,51.0,139,Unhealthy for Sensitive Groups,56.4,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 12:00 AM,2022,02,15,00,58.9,153,Unhealthy,66.6,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 01:00 AM,2022,02,15,01,62.6,155,Unhealthy,66.3,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 02:00 AM,2022,02,15,02,71.0,159,Unhealthy,79.3,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 03:00 AM,2022,02,15,03,67.5,157,Unhealthy,64.1,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 04:00 AM,2022,02,15,04,62.5,155,Unhealthy,57.4,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 05:00 AM,2022,02,15,05,59.6,153,Unhealthy,56.7,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 06:00 AM,2022,02,15,06,60.2,153,Unhealthy,60.8,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 07:00 AM,2022,02,15,07,64.4,156,Unhealthy,68.5,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 08:00 AM,2022,02,15,08,63.7,155,Unhealthy,63.1,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 09:00 AM,2022,02,15,09,62.0,154,Unhealthy,58.8,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 10:00 AM,2022,02,15,10,55.7,151,Unhealthy,47.0,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 11:00 AM,2022,02,15,11,53.4,145,Unhealthy for Sensitive Groups,50.2,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 12:00 PM,2022,02,15,12,51.7,141,Unhealthy for Sensitive Groups,49.3,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 01:00 PM,2022,02,15,13,50.2,137,Unhealthy for Sensitive Groups,48.1,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 02:00 PM,2022,02,15,14,50.1,137,Unhealthy for Sensitive Groups,47.3,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 03:00 PM,2022,02,15,15,47.7,131,Unhealthy for Sensitive Groups,44.4,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 04:00 PM,2022,02,15,16,44.8,124,Unhealthy for Sensitive Groups,41.2,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2022-02-15 05:00 PM,2022,02,15,17,40.9,114,Unhealthy for Sensitive Groups,37.1,UG/M3,1 Hr,Valid
