Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kigali,PM2.5 - Principal,2024-04-01 01:00 AM,2024,04,01,01,55.9,151,Unhealthy,56.4,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 02:00 AM,2024,04,01,02,56.6,152,Unhealthy,57.3,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 03:00 AM,2024,04,01,03,54.5,148,Unhealthy for Sensitive Groups,52.3,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 04:00 AM,2024,04,01,04,55.6,151,Unhealthy,56.8,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 05:00 AM,2024,04,01,05,53.3,145,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 06:00 AM,2024,04,01,06,49.5,135,Unhealthy for Sensitive Groups,45.6,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 07:00 AM,2024,04,01,07,49.7,136,Unhealthy for Sensitive Groups,49.9,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 08:00 AM,2024,04,01,08,51.2,140,Unhealthy for Sensitive Groups,52.2,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 09:00 AM,2024,04,01,09,51.3,140,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 10:00 AM,2024,04,01,10,50.1,137,Unhealthy for Sensitive Groups,46.5,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 11:00 AM,2024,04,01,11,50.9,139,Unhealthy for Sensitive Groups,53.3,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 12:00 PM,2024,04,01,12,50.0,137,Unhealthy for Sensitive Groups,46.7,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 01:00 PM,2024,04,01,13,36.1,102,Unhealthy for Sensitive Groups,23.5,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 02:00 PM,2024,04,01,14,29.3,87,Moderate,22.5,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 03:00 PM,2024,04,01,15,24.1,76,Moderate,18.8,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 04:00 PM,2024,04,01,16,21.0,70,Moderate,17.9,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 05:00 PM,2024,04,01,17,20.5,69,Moderate,20.1,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 06:00 PM,2024,04,01,18,21.0,70,Moderate,21.5,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 07:00 PM,2024,04,01,19,23.7,75,Moderate,26.4,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 08:00 PM,2024,04,01,20,29.5,88,Moderate,35.3,UG/M3,1 Hr,Valid
Kigali,PM2.5 - Principal,2024-04-01 09:00 PM,2024,04,01,21,40.4,113,Unhealthy for Sensitive Groups,51.3,UG/M3,1 Hr,Valid
