Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kinshasa,PM2.5 - Principal,2022-07-01 02:00 AM,2022,07,01,02,4.9,20,Good,5.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 03:00 AM,2022,07,01,03,4.9,20,Good,-999.0,UG/M3,1 Hr,Missing
Kinshasa,PM2.5 - Principal,2022-07-01 04:00 AM,2022,07,01,04,7.6,32,Good,9.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 05:00 AM,2022,07,01,05,6.7,28,Good,6.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 06:00 AM,2022,07,01,06,5.7,24,Good,5.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 07:00 AM,2022,07,01,07,5.3,22,Good,5.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 08:00 AM,2022,07,01,08,5.6,23,Good,6.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 09:00 AM,2022,07,01,09,8.3,35,Good,11.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 10:00 AM,2022,07,01,10,7.6,32,Good,7.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 11:00 AM,2022,07,01,11,5.3,22,Good,3.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 12:00 PM,2022,07,01,12,4.6,19,Good,4.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 01:00 PM,2022,07,01,13,5.8,24,Good,7.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 02:00 PM,2022,07,01,14,6.4,27,Good,7.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 03:00 PM,2022,07,01,15,7.7,32,Good,9.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 04:00 PM,2022,07,01,16,8.3,35,Good,9.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 05:00 PM,2022,07,01,17,7.1,30,Good,6.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 06:00 PM,2022,07,01,18,6.5,27,Good,6.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 07:00 PM,2022,07,01,19,6.2,26,Good,6.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 08:00 PM,2022,07,01,20,8.1,34,Good,10.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 09:00 PM,2022,07,01,21,7.0,29,Good,6.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 10:00 PM,2022,07,01,22,6.0,25,Good,5.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-01 11:00 PM,2022,07,01,23,5.5,23,Good,5.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-02 12:00 AM,2022,07,02,00,7.2,30,Good,9.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-02 01:00 AM,2022,07,02,01,8.1,34,Good,9.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-02 02:00 AM,2022,07,02,02,8.5,35,Good,9.0,UG/M3,1 Hr,Valid
Kinshasa,PM2.5 - Principal,2022-07-02 03:00 AM,2022,07,02,03,8.5,35,Good,-999.0,UG/M3,1 Hr,Missing
