Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,24-hr. Midpoint Avg. Conc.,24-hr. Midpoint Avg. AQI,24-hr. Midpoint Avg. AQI Category,NowCast Conc.,NowCast AQI,NowCast AQI Category,Conc. Unit,Duration,QC Name
"[Kolkata, PM2.5 - Principal, 2016-10-01 01:00 AM, 2016, 10, 01, 01, 13.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 02:00 AM, 2016, 10, 01, 02, 8.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 03:00 AM, 2016, 10, 01, 03, 14.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 04:00 AM, 2016, 10, 01, 04, 8.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 05:00 AM, 2016, 10, 01, 05, 8.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 06:00 AM, 2016, 10, 01, 06, 22.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 07:00 AM, 2016, 10, 01, 07, 21.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 08:00 AM, 2016, 10, 01, 08, 14.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 09:00 AM, 2016, 10, 01, 09, 10.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 10:00 AM, 2016, 10, 01, 10, 12.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 11:00 AM, 2016, 10, 01, 11, 17.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 12:00 PM, 2016, 10, 01, 12, 6.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 01:00 PM, 2016, 10, 01, 13, 12.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 02:00 PM, 2016, 10, 01, 14, 10.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 03:00 PM, 2016, 10, 01, 15, 10.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 04:00 PM, 2016, 10, 01, 16, 13.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 05:00 PM, 2016, 10, 01, 17, 12.0, , , , , , , UG/M3, 1 Hr, Valid]"
"[Kolkata, PM2.5 - Principal, 2016-10-01 06:00 PM, 2016, 10, 01, 18, 14.0, , , , , , , UG/M3, 1 Hr, Valid]"
