Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Kolkata,PM2.5 - Principal,2016-01-01 07:00 AM,2016,01,01,07,604.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 08:00 AM,2016,01,01,08,467.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 09:00 AM,2016,01,01,09,576.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 10:00 AM,2016,01,01,10,545.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 11:00 AM,2016,01,01,11,235.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 12:00 PM,2016,01,01,12,277.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-31 01:00 AM,2016,01,31,01,125.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-31 02:00 AM,2016,01,31,02,111.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-31 03:00 AM,2016,01,31,03,102.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-31 04:00 AM,2016,01,31,04,91.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-31 05:00 AM,2016,01,31,05,-999.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-31 06:00 AM,2016,01,31,06,92.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 07:00 PM,2016,01,30,19,154.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 08:00 PM,2016,01,30,20,271.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 09:00 PM,2016,01,30,21,163.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 10:00 PM,2016,01,30,22,153.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 11:00 PM,2016,01,30,23,143.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-31 12:00 AM,2016,01,31,00,138.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 01:00 PM,2016,01,30,13,143.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 02:00 PM,2016,01,30,14,109.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 03:00 PM,2016,01,30,15,100.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 04:00 PM,2016,01,30,16,104.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 05:00 PM,2016,01,30,17,117.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 06:00 PM,2016,01,30,18,128.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 07:00 AM,2016,01,30,07,231.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 08:00 AM,2016,01,30,08,248.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 09:00 AM,2016,01,30,09,202.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 10:00 AM,2016,01,30,10,138.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-30 11:00 AM,2016,01,30,11,130.0,UG/M3,1 Hr,Valid
