Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kolkata,PM2.5 - Principal,2019-02-01 01:00 AM,2019,02,01,01,206.2,256,Very Unhealthy,174.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 02:00 AM,2019,02,01,02,184.1,234,Very Unhealthy,162.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 03:00 AM,2019,02,01,03,171.0,221,Very Unhealthy,158.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 04:00 AM,2019,02,01,04,162.0,212,Very Unhealthy,153.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 05:00 AM,2019,02,01,05,160.0,210,Very Unhealthy,158.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 06:00 AM,2019,02,01,06,166.1,216,Very Unhealthy,172.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 07:00 AM,2019,02,01,07,161.2,212,Very Unhealthy,156.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 08:00 AM,2019,02,01,08,176.5,227,Very Unhealthy,193.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 09:00 AM,2019,02,01,09,240.0,290,Very Unhealthy,304.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 10:00 AM,2019,02,01,10,236.0,286,Very Unhealthy,232.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 11:00 AM,2019,02,01,11,166.1,216,Very Unhealthy,96.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 12:00 PM,2019,02,01,12,149.0,199,Unhealthy,132.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 01:00 PM,2019,02,01,13,139.5,194,Unhealthy,130.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 02:00 PM,2019,02,01,14,132.7,191,Unhealthy,126.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 03:00 PM,2019,02,01,15,118.3,183,Unhealthy,104.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 04:00 PM,2019,02,01,16,103.1,176,Unhealthy,88.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 05:00 PM,2019,02,01,17,89.0,168,Unhealthy,75.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 06:00 PM,2019,02,01,18,85.0,166,Unhealthy,81.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 07:00 PM,2019,02,01,19,114.0,181,Unhealthy,143.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 08:00 PM,2019,02,01,20,124.4,187,Unhealthy,135.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 09:00 PM,2019,02,01,21,141.7,196,Unhealthy,159.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 10:00 PM,2019,02,01,22,174.8,225,Very Unhealthy,208.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-01 11:00 PM,2019,02,01,23,241.4,291,Very Unhealthy,308.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-02 12:00 AM,2019,02,02,00,270.2,321,Hazardous,299.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-02 01:00 AM,2019,02,02,01,270.6,321,Hazardous,271.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-02 02:00 AM,2019,02,02,02,277.3,328,Hazardous,284.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-02 03:00 AM,2019,02,02,03,316.2,366,Hazardous,355.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-02 04:00 AM,2019,02,02,04,369.6,414,Hazardous,423.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-02 05:00 AM,2019,02,02,05,294.8,345,Hazardous,220.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-02 06:00 AM,2019,02,02,06,242.9,293,Very Unhealthy,191.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-02 07:00 AM,2019,02,02,07,198.4,248,Very Unhealthy,154.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-02 08:00 AM,2019,02,02,08,182.2,232,Very Unhealthy,166.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-02 09:00 AM,2019,02,02,09,187.1,237,Very Unhealthy,192.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2019-02-02 10:00 AM,2019,02,02,10,188.5,239,Very Unhealthy,190.0,UG/M3,1 Hr,Valid
