Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kuala Lumpur,PM2.5 - Principal,2022-06-15 10:00 AM,2022,06,15,10,-999.0,-999,N/A,-15.0,UG/M3,1 Hr,Invalid
Kuala Lumpur,PM2.5 - Principal,2022-06-15 11:00 AM,2022,06,15,11,-999.0,-999,N/A,-10.0,UG/M3,1 Hr,Invalid
Kuala Lumpur,PM2.5 - Principal,2022-06-15 12:00 PM,2022,06,15,12,-999.0,-999,N/A,4.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2022-06-15 01:00 PM,2022,06,15,13,2.6,11,Good,2.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2022-06-15 02:00 PM,2022,06,15,14,1.7,7,Good,1.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2022-06-15 03:00 PM,2022,06,15,15,3.4,14,Good,5.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2022-06-15 04:00 PM,2022,06,15,16,3.2,13,Good,3.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2022-06-15 05:00 PM,2022,06,15,17,3.1,13,Good,3.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2022-06-15 06:00 PM,2022,06,15,18,3.5,15,Good,4.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2022-06-15 07:00 PM,2022,06,15,19,4.7,20,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2022-06-15 08:00 PM,2022,06,15,20,7.3,30,Good,10.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2022-06-15 09:00 PM,2022,06,15,21,7.1,30,Good,7.0,UG/M3,1 Hr,Valid
