Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kuala Lumpur,PM2.5 - Principal,2023-11-01 01:00 AM,2023,11,01,01,7.9,33,Good,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 02:00 AM,2023,11,01,02,6.9,29,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 03:00 AM,2023,11,01,03,4.9,20,Good,3.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 04:00 AM,2023,11,01,04,4.9,20,Good,5.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 05:00 AM,2023,11,01,05,5.9,25,Good,7.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 06:00 AM,2023,11,01,06,5.4,23,Good,5.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 07:00 AM,2023,11,01,07,5.7,24,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 08:00 AM,2023,11,01,08,6.8,28,Good,8.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 09:00 AM,2023,11,01,09,8.4,35,Good,10.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 10:00 AM,2023,11,01,10,9.7,40,Good,11.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 11:00 AM,2023,11,01,11,10.3,43,Good,11.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 12:00 PM,2023,11,01,12,8.6,36,Good,7.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 01:00 PM,2023,11,01,13,8.8,37,Good,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 02:00 PM,2023,11,01,14,8.8,37,Good,-999.0,UG/M3,1 Hr,Missing
Kuala Lumpur,PM2.5 - Principal,2023-11-01 03:00 PM,2023,11,01,15,8.2,34,Good,8.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 04:00 PM,2023,11,01,16,5.8,24,Good,4.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 05:00 PM,2023,11,01,17,7.5,31,Good,9.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 06:00 PM,2023,11,01,18,7.7,32,Good,8.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 07:00 PM,2023,11,01,19,6.8,28,Good,6.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 08:00 PM,2023,11,01,20,4.4,18,Good,2.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 09:00 PM,2023,11,01,21,1.6,7,Good,-1.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 10:00 PM,2023,11,01,22,2.3,10,Good,3.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-01 11:00 PM,2023,11,01,23,3.1,13,Good,4.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-02 12:00 AM,2023,11,02,00,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-02 01:00 AM,2023,11,02,01,3.5,15,Good,4.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-02 02:00 AM,2023,11,02,02,3.7,15,Good,4.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-02 03:00 AM,2023,11,02,03,2.3,10,Good,1.0,UG/M3,1 Hr,Valid
Kuala Lumpur,PM2.5 - Principal,2023-11-02 04:00 AM,2023,11,02,04,1.1,5,Good,0.0,UG/M3,1 Hr,Valid
