Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Kuwait City,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,-999,-999,-999.0,58.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,146,3,53.7,50.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,133,3,48.3,42.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,118,3,42.4,36.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,120,3,43.4,45.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,118,3,42.4,41.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,122,3,44.0,47.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,123,3,44.5,41.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,125,3,45.1,38.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,124,3,45.0,36.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,124,3,44.8,53.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,124,3,44.7,38.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,123,3,44.6,51.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,122,3,44.0,35.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,121,3,43.6,37.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,122,3,43.9,45.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,123,3,44.5,46.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,123,3,44.5,54.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,124,3,44.9,53.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,124,3,44.9,56.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,125,3,45.2,45.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,127,3,45.9,39.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,128,3,46.5,43.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,127,3,46.0,42.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,127,3,46.1,44.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,125,3,45.2,41.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,124,3,44.9,48.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,123,3,44.6,50.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,122,3,43.9,47.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,120,3,43.2,50.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,118,3,42.3,46.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,116,3,41.5,48.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,114,3,40.6,56.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,112,3,40.0,50.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,111,3,39.5,40.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 01:00 PM,2017,01,02,13,110,3,39.2,41.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 02:00 PM,2017,01,02,14,109,3,38.7,30.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 03:00 PM,2017,01,02,15,107,3,38.0,27.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 04:00 PM,2017,01,02,16,105,3,37.3,31.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 05:00 PM,2017,01,02,17,104,3,36.9,27.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 06:00 PM,2017,01,02,18,102,3,36.1,30.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 07:00 PM,2017,01,02,19,102,3,35.9,33.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2017-01-02 08:00 PM,2017,01,02,20,100,2,35.4,32.0,UG/M3,1 Hr,Valid
