Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Lagos,PM2.5 - Principal,2022-09-01 01:00 AM,2022,09,01,01,8.1,34,Good,7.4,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 02:00 AM,2022,09,01,02,7.5,31,Good,7.0,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 03:00 AM,2022,09,01,03,7.2,30,Good,6.8,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 04:00 AM,2022,09,01,04,7.9,33,Good,8.6,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 05:00 AM,2022,09,01,05,9.0,38,Good,10.1,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 06:00 AM,2022,09,01,06,9.1,38,Good,9.1,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 07:00 AM,2022,09,01,07,15.8,59,Moderate,22.6,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 08:00 AM,2022,09,01,08,12.0,50,Good,8.2,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 09:00 AM,2022,09,01,09,12.0,50,Good,12.0,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 10:00 AM,2022,09,01,10,10.9,45,Good,9.9,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 11:00 AM,2022,09,01,11,10.7,45,Good,10.4,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 12:00 PM,2022,09,01,12,9.8,41,Good,9.0,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 01:00 PM,2022,09,01,13,9.2,38,Good,8.5,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 02:00 PM,2022,09,01,14,8.9,37,Good,8.6,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 03:00 PM,2022,09,01,15,9.0,38,Good,9.0,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 04:00 PM,2022,09,01,16,8.9,37,Good,8.9,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 05:00 PM,2022,09,01,17,11.3,47,Good,13.6,UG/M3,1 Hr,Valid
Lagos,PM2.5 - Principal,2022-09-01 06:00 PM,2022,09,01,18,10.5,44,Good,9.7,UG/M3,1 Hr,Valid
