Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Lahore,PM2.5 - Principal,2024-08-01 01:00 AM,2024,08,01,01,99.1,182,Unhealthy,107.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 02:00 AM,2024,08,01,02,100.5,183,Unhealthy,102.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 03:00 AM,2024,08,01,03,82.7,170,Unhealthy,65.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 04:00 AM,2024,08,01,04,62.8,156,Unhealthy,43.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 05:00 AM,2024,08,01,05,50.4,138,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 06:00 AM,2024,08,01,06,27.2,85,Moderate,4.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 07:00 AM,2024,08,01,07,22.1,75,Moderate,17.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 08:00 AM,2024,08,01,08,23.0,77,Moderate,24.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 09:00 AM,2024,08,01,09,21.0,73,Moderate,19.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 10:00 AM,2024,08,01,10,19.9,71,Moderate,19.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 11:00 AM,2024,08,01,11,17.9,67,Moderate,16.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 12:00 PM,2024,08,01,12,19.9,71,Moderate,22.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 01:00 PM,2024,08,01,13,21.4,74,Moderate,23.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 02:00 PM,2024,08,01,14,21.7,74,Moderate,22.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 03:00 PM,2024,08,01,15,24.3,79,Moderate,27.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 04:00 PM,2024,08,01,16,24.6,80,Moderate,25.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 05:00 PM,2024,08,01,17,28.3,87,Moderate,32.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 06:00 PM,2024,08,01,18,32.6,95,Moderate,37.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 07:00 PM,2024,08,01,19,35.8,102,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 08:00 PM,2024,08,01,20,36.4,103,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 09:00 PM,2024,08,01,21,39.7,111,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 10:00 PM,2024,08,01,22,52.8,144,Unhealthy for Sensitive Groups,66.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-01 11:00 PM,2024,08,01,23,61.4,155,Unhealthy,70.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-02 12:00 AM,2024,08,02,00,77.2,166,Unhealthy,93.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-02 01:00 AM,2024,08,02,01,106.1,186,Unhealthy,135.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2024-08-02 02:00 AM,2024,08,02,02,99.5,182,Unhealthy,93.0,UG/M3,1 Hr,Valid
