Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Libreville,PM2.5 - Principal,2021-10-01 02:00 AM,2021,10,01,02,7.8,33,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 03:00 AM,2021,10,01,03,6.4,27,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 04:00 AM,2021,10,01,04,3.7,15,Good,1.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 05:00 AM,2021,10,01,05,3.3,14,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 06:00 AM,2021,10,01,06,4.6,19,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 07:00 AM,2021,10,01,07,4.8,20,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 08:00 AM,2021,10,01,08,5.4,23,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 09:00 AM,2021,10,01,09,6.7,28,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 10:00 AM,2021,10,01,10,8.3,35,Good,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 11:00 AM,2021,10,01,11,9.6,40,Good,11.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 12:00 PM,2021,10,01,12,10.3,43,Good,11.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 01:00 PM,2021,10,01,13,8.6,36,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 02:00 PM,2021,10,01,14,6.3,26,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 03:00 PM,2021,10,01,15,6.1,25,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 04:00 PM,2021,10,01,16,7.0,29,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 05:00 PM,2021,10,01,17,6.0,25,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 06:00 PM,2021,10,01,18,5.0,21,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 07:00 PM,2021,10,01,19,4.5,19,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 08:00 PM,2021,10,01,20,3.2,13,Good,2.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 09:00 PM,2021,10,01,21,3.1,13,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 10:00 PM,2021,10,01,22,6.0,25,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-01 11:00 PM,2021,10,01,23,6.5,27,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 12:00 AM,2021,10,02,00,5.2,22,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 01:00 AM,2021,10,02,01,3.6,15,Good,2.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 02:00 AM,2021,10,02,02,1.3,5,Good,-1.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 03:00 AM,2021,10,02,03,1.1,5,Good,1.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 04:00 AM,2021,10,02,04,1.5,6,Good,2.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 05:00 AM,2021,10,02,05,1.2,5,Good,1.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 06:00 AM,2021,10,02,06,3.1,13,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 07:00 AM,2021,10,02,07,6.0,25,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 08:00 AM,2021,10,02,08,13.0,53,Moderate,20.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 09:00 AM,2021,10,02,09,13.0,53,Moderate,-999.0,UG/M3,1 Hr,Missing
Libreville,PM2.5 - Principal,2021-10-02 10:00 AM,2021,10,02,10,13.6,54,Moderate,14.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 11:00 AM,2021,10,02,11,11.0,46,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 12:00 PM,2021,10,02,12,9.4,39,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 01:00 PM,2021,10,02,13,7.6,32,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 02:00 PM,2021,10,02,14,5.7,24,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 03:00 PM,2021,10,02,15,4.8,20,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 04:00 PM,2021,10,02,16,6.4,27,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 05:00 PM,2021,10,02,17,8.2,34,Good,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 06:00 PM,2021,10,02,18,7.6,32,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 07:00 PM,2021,10,02,19,6.8,28,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 08:00 PM,2021,10,02,20,5.4,23,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 09:00 PM,2021,10,02,21,5.2,22,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 10:00 PM,2021,10,02,22,5.5,23,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-02 11:00 PM,2021,10,02,23,5.2,22,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 12:00 AM,2021,10,03,00,4.1,17,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 01:00 AM,2021,10,03,01,4.5,19,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 02:00 AM,2021,10,03,02,3.7,15,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 03:00 AM,2021,10,03,03,3.3,14,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 04:00 AM,2021,10,03,04,4.1,17,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 05:00 AM,2021,10,03,05,4.5,19,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 06:00 AM,2021,10,03,06,3.7,15,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 07:00 AM,2021,10,03,07,4.3,18,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 08:00 AM,2021,10,03,08,4.6,19,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 09:00 AM,2021,10,03,09,3.8,16,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 10:00 AM,2021,10,03,10,2.9,12,Good,2.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 11:00 AM,2021,10,03,11,3.9,16,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 12:00 PM,2021,10,03,12,4.4,18,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 01:00 PM,2021,10,03,13,5.2,22,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 02:00 PM,2021,10,03,14,5.6,23,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 03:00 PM,2021,10,03,15,4.8,20,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 04:00 PM,2021,10,03,16,3.9,16,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 05:00 PM,2021,10,03,17,4.4,18,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 06:00 PM,2021,10,03,18,5.2,22,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 07:00 PM,2021,10,03,19,6.6,28,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 08:00 PM,2021,10,03,20,5.8,24,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 09:00 PM,2021,10,03,21,4.9,20,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 10:00 PM,2021,10,03,22,4.9,20,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-03 11:00 PM,2021,10,03,23,4.9,20,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 12:00 AM,2021,10,04,00,3.9,16,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 01:00 AM,2021,10,04,01,4.4,18,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 02:00 AM,2021,10,04,02,4.2,18,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 03:00 AM,2021,10,04,03,5.6,23,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 04:00 AM,2021,10,04,04,5.8,24,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 05:00 AM,2021,10,04,05,4.4,18,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 06:00 AM,2021,10,04,06,3.7,15,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 07:00 AM,2021,10,04,07,4.8,20,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 08:00 AM,2021,10,04,08,4.9,20,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 09:00 AM,2021,10,04,09,5.9,25,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 10:00 AM,2021,10,04,10,6.9,29,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 11:00 AM,2021,10,04,11,6.4,27,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 12:00 PM,2021,10,04,12,6.7,28,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 01:00 PM,2021,10,04,13,7.3,30,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 02:00 PM,2021,10,04,14,10.1,42,Good,13.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 03:00 PM,2021,10,04,15,10.0,42,Good,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 04:00 PM,2021,10,04,16,11.5,48,Good,13.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 05:00 PM,2021,10,04,17,10.2,43,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 06:00 PM,2021,10,04,18,7.6,32,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 07:00 PM,2021,10,04,19,7.3,30,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 08:00 PM,2021,10,04,20,7.1,30,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 09:00 PM,2021,10,04,21,6.5,27,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 10:00 PM,2021,10,04,22,4.7,20,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-04 11:00 PM,2021,10,04,23,5.3,22,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 12:00 AM,2021,10,05,00,5.1,21,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 01:00 AM,2021,10,05,01,3.5,15,Good,2.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 02:00 AM,2021,10,05,02,2.7,11,Good,2.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 03:00 AM,2021,10,05,03,3.3,14,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 04:00 AM,2021,10,05,04,3.1,13,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 05:00 AM,2021,10,05,05,4.0,17,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 06:00 AM,2021,10,05,06,4.0,17,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 07:00 AM,2021,10,05,07,3.0,13,Good,2.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 08:00 AM,2021,10,05,08,2.0,8,Good,1.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 09:00 AM,2021,10,05,09,4.0,17,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 10:00 AM,2021,10,05,10,5.0,21,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 11:00 AM,2021,10,05,11,5.0,21,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 12:00 PM,2021,10,05,12,4.5,19,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 01:00 PM,2021,10,05,13,5.2,22,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 02:00 PM,2021,10,05,14,6.1,25,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 03:00 PM,2021,10,05,15,6.5,27,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 04:00 PM,2021,10,05,16,6.2,26,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 05:00 PM,2021,10,05,17,6.6,28,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 06:00 PM,2021,10,05,18,6.8,28,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 07:00 PM,2021,10,05,19,6.4,27,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 08:00 PM,2021,10,05,20,6.2,26,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 09:00 PM,2021,10,05,21,6.1,25,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 10:00 PM,2021,10,05,22,6.5,27,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-05 11:00 PM,2021,10,05,23,5.8,24,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 12:00 AM,2021,10,06,00,4.3,18,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 01:00 AM,2021,10,06,01,3.6,15,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 02:00 AM,2021,10,06,02,2.8,12,Good,2.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 03:00 AM,2021,10,06,03,3.4,14,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 04:00 AM,2021,10,06,04,4.2,18,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 05:00 AM,2021,10,06,05,4.6,19,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 06:00 AM,2021,10,06,06,5.3,22,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 07:00 AM,2021,10,06,07,5.6,23,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 08:00 AM,2021,10,06,08,4.8,20,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 09:00 AM,2021,10,06,09,3.9,16,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 10:00 AM,2021,10,06,10,5.4,23,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 11:00 AM,2021,10,06,11,6.2,26,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 12:00 PM,2021,10,06,12,8.1,34,Good,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 01:00 PM,2021,10,06,13,7.0,29,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 02:00 PM,2021,10,06,14,5.5,23,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 03:00 PM,2021,10,06,15,5.2,22,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 04:00 PM,2021,10,06,16,5.6,23,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 05:00 PM,2021,10,06,17,9.3,39,Good,13.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 06:00 PM,2021,10,06,18,8.6,36,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 07:00 PM,2021,10,06,19,6.3,26,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 08:00 PM,2021,10,06,20,6.1,25,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 09:00 PM,2021,10,06,21,6.0,25,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 10:00 PM,2021,10,06,22,5.0,21,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-06 11:00 PM,2021,10,06,23,6.5,27,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 12:00 AM,2021,10,07,00,7.7,32,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 01:00 AM,2021,10,07,01,6.8,28,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 02:00 AM,2021,10,07,02,4.9,20,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 03:00 AM,2021,10,07,03,3.4,14,Good,2.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 04:00 AM,2021,10,07,04,3.2,13,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 05:00 AM,2021,10,07,05,4.6,19,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 06:00 AM,2021,10,07,06,5.3,22,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 07:00 AM,2021,10,07,07,6.1,25,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 08:00 AM,2021,10,07,08,7.0,29,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 09:00 AM,2021,10,07,09,8.0,33,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 10:00 AM,2021,10,07,10,10.0,42,Good,12.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-10-07 11:00 AM,2021,10,07,11,10.0,42,Good,-999.0,UG/M3,1 Hr,Missing
Libreville,PM2.5 - Principal,2021-10-07 12:00 PM,2021,10,07,12,10.6,44,Good,11.0,UG/M3,1 Hr,Valid
