Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Libreville,PM2.5 - Principal,2021-04-08 12:00 PM,2021,04,08,12,-999.0,-999,N/A,63.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-08 01:00 PM,2021,04,08,13,33.0,95,Moderate,18.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-08 02:00 PM,2021,04,08,14,62.7,155,Unhealthy,85.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-08 03:00 PM,2021,04,08,15,51.1,139,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-08 04:00 PM,2021,04,08,16,36.6,104,Unhealthy for Sensitive Groups,23.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-08 05:00 PM,2021,04,08,17,23.6,75,Moderate,11.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-08 06:00 PM,2021,04,08,18,16.7,61,Moderate,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-08 07:00 PM,2021,04,08,19,12.8,52,Moderate,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-08 08:00 PM,2021,04,08,20,11.9,50,Good,11.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-08 09:00 PM,2021,04,08,21,9.4,39,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-08 10:00 PM,2021,04,08,22,7.7,32,Good,6.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-08 11:00 PM,2021,04,08,23,6.3,26,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 12:00 AM,2021,04,09,00,5.6,23,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 01:00 AM,2021,04,09,01,6.3,26,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 02:00 AM,2021,04,09,02,7.1,30,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 03:00 AM,2021,04,09,03,5.5,23,Good,4.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 04:00 AM,2021,04,09,04,2.7,11,Good,0.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 05:00 AM,2021,04,09,05,2.8,12,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 06:00 AM,2021,04,09,06,2.9,12,Good,3.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 07:00 AM,2021,04,09,07,2.4,10,Good,2.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 08:00 AM,2021,04,09,08,4.7,20,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 09:00 AM,2021,04,09,09,9.3,39,Good,14.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 10:00 AM,2021,04,09,10,9.6,40,Good,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 11:00 AM,2021,04,09,11,9.8,41,Good,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 12:00 PM,2021,04,09,12,9.9,41,Good,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 01:00 PM,2021,04,09,13,8.9,37,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 02:00 PM,2021,04,09,14,8.4,35,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 03:00 PM,2021,04,09,15,7.7,32,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 04:00 PM,2021,04,09,16,8.3,35,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 05:00 PM,2021,04,09,17,17.1,62,Moderate,26.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 06:00 PM,2021,04,09,18,15.0,57,Moderate,13.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 07:00 PM,2021,04,09,19,13.5,54,Moderate,12.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 08:00 PM,2021,04,09,20,11.7,49,Good,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 09:00 PM,2021,04,09,21,9.8,41,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 10:00 PM,2021,04,09,22,8.9,37,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-09 11:00 PM,2021,04,09,23,9.4,39,Good,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 12:00 AM,2021,04,10,00,10.2,43,Good,11.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 01:00 AM,2021,04,10,01,11.6,48,Good,13.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 02:00 AM,2021,04,10,02,10.3,43,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 03:00 AM,2021,04,10,03,12.1,51,Moderate,14.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 04:00 AM,2021,04,10,04,11.0,46,Good,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 05:00 AM,2021,04,10,05,11.0,46,Good,11.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 06:00 AM,2021,04,10,06,10.1,42,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 07:00 AM,2021,04,10,07,9.6,40,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 08:00 AM,2021,04,10,08,9.6,40,Good,-999.0,UG/M3,1 Hr,Missing
Libreville,PM2.5 - Principal,2021-04-10 09:00 AM,2021,04,10,09,17.8,63,Moderate,22.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 10:00 AM,2021,04,10,10,20.7,69,Moderate,23.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 11:00 AM,2021,04,10,11,18.2,64,Moderate,16.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 12:00 PM,2021,04,10,12,13.9,55,Moderate,10.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 01:00 PM,2021,04,10,13,10.9,45,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 02:00 PM,2021,04,10,14,7.9,33,Good,5.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 03:00 PM,2021,04,10,15,7.9,33,Good,8.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 04:00 PM,2021,04,10,16,7.4,31,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 05:00 PM,2021,04,10,17,8.2,34,Good,9.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 06:00 PM,2021,04,10,18,7.6,32,Good,7.0,UG/M3,1 Hr,Valid
Libreville,PM2.5 - Principal,2021-04-10 07:00 PM,2021,04,10,19,6.8,28,Good,6.0,UG/M3,1 Hr,Valid
