Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Lima,PM2.5 - Principal,2019-07-01 01:00 AM,2019,07,01,01,26.1,80,Moderate,29.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 02:00 AM,2019,07,01,02,23.3,75,Moderate,20.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 03:00 AM,2019,07,01,03,22.7,73,Moderate,22.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 04:00 AM,2019,07,01,04,21.9,72,Moderate,21.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 05:00 AM,2019,07,01,05,21.9,72,Moderate,22.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 06:00 AM,2019,07,01,06,23.7,75,Moderate,26.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 07:00 AM,2019,07,01,07,24.3,77,Moderate,25.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 08:00 AM,2019,07,01,08,26.4,81,Moderate,29.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 09:00 AM,2019,07,01,09,27.1,83,Moderate,28.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 10:00 AM,2019,07,01,10,27.5,83,Moderate,28.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 11:00 AM,2019,07,01,11,26.8,82,Moderate,-999.0,UG/M3,1 Hr,Missing
Lima,PM2.5 - Principal,2019-07-01 12:00 PM,2019,07,01,12,26.9,82,Moderate,27.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 01:00 PM,2019,07,01,13,33.1,95,Moderate,38.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 02:00 PM,2019,07,01,14,49.1,134,Unhealthy for Sensitive Groups,63.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 03:00 PM,2019,07,01,15,44.9,124,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 04:00 PM,2019,07,01,16,36.3,103,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 05:00 PM,2019,07,01,17,26.5,81,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 06:00 PM,2019,07,01,18,19.2,66,Moderate,12.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 07:00 PM,2019,07,01,19,14.6,56,Moderate,10.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 08:00 PM,2019,07,01,20,14.8,57,Moderate,15.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 09:00 PM,2019,07,01,21,20.9,70,Moderate,27.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 10:00 PM,2019,07,01,22,19.9,67,Moderate,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-01 11:00 PM,2019,07,01,23,26.4,81,Moderate,33.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 12:00 AM,2019,07,02,00,33.2,95,Moderate,40.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 01:00 AM,2019,07,02,01,30.6,90,Moderate,28.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 02:00 AM,2019,07,02,02,30.3,89,Moderate,30.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 03:00 AM,2019,07,02,03,34.1,97,Moderate,38.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 04:00 AM,2019,07,02,04,37.5,106,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 05:00 AM,2019,07,02,05,38.2,108,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 06:00 AM,2019,07,02,06,38.6,109,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 07:00 AM,2019,07,02,07,29.3,87,Moderate,20.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 08:00 AM,2019,07,02,08,26.6,81,Moderate,24.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 09:00 AM,2019,07,02,09,31.3,91,Moderate,36.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 10:00 AM,2019,07,02,10,41.6,116,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 11:00 AM,2019,07,02,11,50.8,139,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 12:00 PM,2019,07,02,12,51.9,141,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 01:00 PM,2019,07,02,13,54.4,148,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 02:00 PM,2019,07,02,14,39.2,110,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-07-02 03:00 PM,2019,07,02,15,30.6,90,Moderate,22.0,UG/M3,1 Hr,Valid
