Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Lima,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,26.0,80,Moderate,28.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,59.0,153,Unhealthy,92.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,48.5,133,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,29.2,87,Moderate,10.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,18.6,65,Moderate,8.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,14.3,56,Moderate,10.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,12.1,51,Moderate,10.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,9.0,38,Good,6.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,10.0,42,Good,11.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,11.0,46,Good,12.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,9.5,40,Good,8.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,7.2,30,Good,5.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,5.6,23,Good,4.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,5.8,24,Good,6.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,5.8,24,Good,6.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,6.4,27,Good,7.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,7.2,30,Good,8.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,7.6,32,Good,8.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,8.3,35,Good,9.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,10.1,42,Good,12.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,12.0,50,Good,14.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,15.5,58,Moderate,19.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,15.7,59,Moderate,16.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,18.8,65,Moderate,22.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-02 01:00 AM,2021,01,02,01,22.4,73,Moderate,26.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-02 02:00 AM,2021,01,02,02,14.2,55,Moderate,6.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2021-01-02 03:00 AM,2021,01,02,03,9.6,40,Good,5.0,UG/M3,1 Hr,Valid
