Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Lome,PM2.5 - Principal,2023-04-19 05:00 PM,2023,04,19,17,-999.0,-999,N/A,2.0,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-20 06:00 PM,2023,04,20,18,-999.0,-999,N/A,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-20 07:00 PM,2023,04,20,19,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-20 08:00 PM,2023,04,20,20,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-20 09:00 PM,2023,04,20,21,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-20 10:00 PM,2023,04,20,22,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-20 11:00 PM,2023,04,20,23,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 12:00 AM,2023,04,21,00,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 01:00 AM,2023,04,21,01,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 02:00 AM,2023,04,21,02,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 03:00 AM,2023,04,21,03,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 04:00 AM,2023,04,21,04,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 05:00 AM,2023,04,21,05,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 06:00 AM,2023,04,21,06,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 07:00 AM,2023,04,21,07,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 08:00 AM,2023,04,21,08,7.8,33,Good,7.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 09:00 AM,2023,04,21,09,7.8,33,Good,-999.0,UG/M3,1 Hr,Missing
Lome,PM2.5 - Principal,2023-04-21 11:00 AM,2023,04,21,11,-999.0,-999,N/A,10.1,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 12:00 PM,2023,04,21,12,10.4,43,Good,11.9,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 01:00 PM,2023,04,21,13,11.7,49,Good,12.9,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 02:00 PM,2023,04,21,14,10.7,45,Good,9.5,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 03:00 PM,2023,04,21,15,10.3,43,Good,9.7,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 04:00 PM,2023,04,21,16,10.4,43,Good,10.5,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 05:00 PM,2023,04,21,17,9.6,40,Good,8.5,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 06:00 PM,2023,04,21,18,10.2,43,Good,10.9,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2023-04-21 07:00 PM,2023,04,21,19,11.0,46,Good,12.2,UG/M3,1 Hr,Valid
