Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Lome,PM2.5 - Principal,2025-03-01 01:00 AM,2025,03,01,01,24.3,79,Moderate,21.7,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 02:00 AM,2025,03,01,02,22.8,77,Moderate,19.5,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 03:00 AM,2025,03,01,03,21.7,74,Moderate,19.5,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 04:00 AM,2025,03,01,04,20.6,72,Moderate,18.8,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 05:00 AM,2025,03,01,05,20.5,72,Moderate,20.5,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 06:00 AM,2025,03,01,06,21.9,75,Moderate,24.3,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 07:00 AM,2025,03,01,07,23.9,79,Moderate,27.5,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 08:00 AM,2025,03,01,08,24.0,79,Moderate,24.2,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 09:00 AM,2025,03,01,09,23.9,79,Moderate,23.7,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 10:00 AM,2025,03,01,10,23.8,78,Moderate,23.5,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 11:00 AM,2025,03,01,11,23.9,79,Moderate,24.2,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 12:00 PM,2025,03,01,12,24.2,79,Moderate,24.9,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 01:00 PM,2025,03,01,13,24.3,79,Moderate,24.5,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 02:00 PM,2025,03,01,14,23.5,78,Moderate,21.9,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 03:00 PM,2025,03,01,15,22.6,76,Moderate,20.6,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 04:00 PM,2025,03,01,16,21.8,75,Moderate,19.5,UG/M3,1 Hr,Valid
Lome,PM2.5 - Principal,2025-03-01 05:00 PM,2025,03,01,17,20.9,73,Moderate,19.2,UG/M3,1 Hr,Valid
